T	X	Y	Mean	StdDev
1.000	18.525	10.790	1280.720	705.325
2.000	18.525	10.855	1254.485	695.960
3.000	18.460	10.855	1258.239	688.356
4.000	18.395	10.725	1247.249	685.263
5.000	18.330	10.595	1241.456	681.387
6.000	18.265	10.595	1243.492	679.427
7.000	17.875	10.660	1239.891	677.601
8.000	17.810	10.595	1231.333	677.477
9.000	17.745	10.595	1230.055	677.488
10.000	17.940	10.595	1235.612	686.452
11.000	17.810	10.595	1228.971	686.294
12.000	17.745	10.790	1223.591	691.969
13.000	17.810	10.855	1235.923	702.437
14.000	17.745	10.790	1234.857	709.342
15.000	17.680	10.790	1244.755	713.972
16.000	17.550	10.790	1234.744	717.786
17.000	17.810	10.985	1234.078	727.827
18.000	17.745	10.790	1241.851	733.451
19.000	17.680	10.855	1245.454	740.871
20.000	17.810	10.920	1243.096	741.110
21.000	17.745	11.115	1249.589	745.561
22.000	18.005	10.725	1244.134	746.337
23.000	17.810	10.855	1256.100	738.070
24.000	17.810	10.920	1240.989	719.784
25.000	17.810	11.115	1239.727	720.409
26.000	18.005	11.245	1235.809	717.688
27.000	17.875	11.180	1236.923	715.585
28.000	17.940	11.440	1230.838	717.373
29.000	18.200	11.570	1236.849	708.746
30.000	18.265	11.570	1225.352	697.321
31.000	18.135	11.700	1227.303	689.585
32.000	18.135	11.700	1225.742	684.800
33.000	18.070	11.765	1217.135	682.041
34.000	17.875	11.895	1216.507	674.131
35.000	17.680	12.025	1216.659	657.568
36.000	17.615	12.155	1204.454	650.913
37.000	17.485	12.155	1202.275	642.307
38.000	17.355	12.155	1200.686	639.426
39.000	17.355	12.155	1197.938	627.110
40.000	17.225	12.220	1184.297	622.370
41.000	17.225	12.285	1177.182	616.281
42.000	17.290	12.285	1177.121	610.435
43.000	17.095	12.285	1173.975	606.770
44.000	16.900	12.415	1174.447	611.898
45.000	17.160	12.545	1162.398	608.224
46.000	17.160	12.480	1156.865	605.468
47.000	17.095	12.545	1158.029	604.746
48.000	17.095	12.545	1146.608	605.692
49.000	17.095	12.480	1148.232	605.357
50.000	17.095	12.480	1153.078	608.835
51.000	17.030	12.285	1148.427	610.703
52.000	17.160	12.090	1153.908	614.434
53.000	17.160	12.155	1156.711	616.119
54.000	17.160	11.960	1145.141	614.243
55.000	17.095	11.960	1148.822	609.846
56.000	16.900	11.960	1143.807	605.727
57.000	17.355	12.025	1138.557	603.383
58.000	17.225	11.765	1139.029	607.252
59.000	17.225	11.765	1135.052	604.346
60.000	17.160	11.830	1128.578	601.479
61.000	17.160	12.025	1123.374	600.513
62.000	17.160	11.895	1128.036	605.057
63.000	17.225	11.895	1128.656	603.161
64.000	17.160	11.960	1135.928	607.646
65.000	17.095	12.025	1136.218	608.624
66.000	17.160	11.960	1132.538	610.575
67.000	17.290	12.025	1119.986	600.259
68.000	17.225	11.960	1120.919	599.988
69.000	17.160	11.895	1109.125	592.055
70.000	17.030	11.960	1093.001	574.510
71.000	16.900	11.960	1097.359	585.424
72.000	17.030	11.960	1110.866	589.221
73.000	17.095	11.895	1103.833	581.922
74.000	17.030	12.025	1093.193	583.338
75.000	17.030	12.220	1085.698	579.358
76.000	17.095	12.415	1069.452	573.519
77.000	17.030	12.675	1054.477	565.001
78.000	16.900	13.065	1055.430	564.936
79.000	16.770	13.325	1044.659	562.885
80.000	16.575	13.195	1034.129	550.433
81.000	16.445	13.065	1019.570	538.521
82.000	16.380	13.195	1011.757	537.703
83.000	16.510	13.130	1008.817	535.549
84.000	16.575	13.130	995.180	528.098
85.000	16.640	13.130	994.035	525.116
86.000	16.575	13.130	988.582	519.517
87.000	16.770	13.130	981.524	509.180
88.000	16.770	13.000	980.125	507.316
89.000	16.770	13.065	971.568	495.793
90.000	16.965	13.130	967.204	496.687
91.000	17.030	13.585	963.173	493.679
92.000	16.965	13.520	962.925	494.154
93.000	16.965	12.285	975.804	492.357
94.000	17.030	13.325	962.498	496.435
95.000	17.030	13.130	969.739	502.113
96.000	17.030	13.130	965.956	505.904
97.000	17.745	13.065	966.070	517.714
98.000	17.615	13.195	970.723	528.760
99.000	17.420	13.195	968.343	523.572
100.000	17.355	13.195	966.256	520.734
101.000	17.290	13.260	963.273	530.824
102.000	17.355	12.545	973.900	533.381
103.000	17.355	12.285	971.414	527.883
104.000	17.290	12.155	959.094	526.184
105.000	17.290	11.960	960.266	529.774
106.000	17.160	11.700	950.133	521.366
107.000	17.290	11.635	945.699	515.024
108.000	17.225	11.505	947.408	516.215
109.000	17.225	12.025	952.452	525.782
110.000	17.225	11.700	955.706	530.377
111.000	17.225	11.570	964.849	530.854
112.000	17.290	11.440	967.606	525.893
113.000	17.225	11.440	966.149	518.330
114.000	17.160	11.505	972.821	519.658
115.000	17.225	11.505	965.516	503.492
116.000	17.095	11.505	964.608	507.342
117.000	17.030	11.505	967.965	505.758
118.000	17.095	11.570	966.120	506.992
119.000	17.225	11.505	962.618	508.835
120.000	16.965	11.505	953.807	509.795
121.000	16.965	11.505	973.949	503.521
