T	X	Y	Mean	StdDev
1.000	23.335	23.725	1509.538	772.943
2.000	23.400	23.790	1478.403	752.508
3.000	23.400	23.790	1476.432	729.320
4.000	23.400	23.725	1454.939	700.749
5.000	23.400	23.725	1422.741	666.896
6.000	23.205	23.595	1268.513	607.648
7.000	22.620	23.595	1220.507	625.162
8.000	22.490	23.595	1216.273	624.117
9.000	22.490	23.530	1208.706	612.563
10.000	22.490	23.530	1205.400	613.775
11.000	23.270	23.595	1257.892	593.646
12.000	23.205	23.595	1260.902	591.994
13.000	22.490	23.595	1217.646	611.187
14.000	22.490	23.465	1201.612	603.579
15.000	22.425	23.465	1200.327	605.630
16.000	22.360	23.335	1194.909	612.518
17.000	22.295	23.465	1183.040	596.709
18.000	22.295	23.465	1175.364	587.484
19.000	22.295	23.400	1167.740	574.913
20.000	22.295	23.400	1175.564	578.960
21.000	23.205	23.335	1231.343	536.818
22.000	22.295	23.335	1159.421	550.897
23.000	23.140	23.335	1199.222	529.709
24.000	22.295	23.270	1135.615	544.707
25.000	22.295	23.335	1131.310	542.793
26.000	22.295	23.270	1134.064	544.072
27.000	22.230	23.270	1145.161	554.351
28.000	22.295	23.335	1149.398	541.930
29.000	22.295	23.010	1149.313	548.834
30.000	22.230	23.075	1160.309	549.538
31.000	22.295	23.400	1154.809	532.083
32.000	22.880	23.400	1174.117	498.466
33.000	23.010	23.335	1159.845	465.107
34.000	22.945	23.335	1156.445	471.792
