 	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)
1	-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	663.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	661.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	663.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	661.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	663.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	649.000	188.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	663.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	658.000	186.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	661.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	650.000	188.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	660.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	651.000	188.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000	673.000	196.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	661.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	648.000	190.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	664.000	187.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	661.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	665.000	183.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	665.000	187.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	662.000	206.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	676.000	180.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	662.000	187.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	658.000	186.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	679.000	177.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11	-10.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	662.000	187.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	661.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	678.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	-9.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	659.000	187.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	660.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	677.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13	-8.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	661.000	187.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	660.000	207.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	677.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
14	-7.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	660.000	187.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	665.000	183.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	678.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15	-6.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	667.000	206.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	676.000	180.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	679.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	-5.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	656.000	188.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	699.000	173.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	678.000	179.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17	-4.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	656.000	189.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	694.000	175.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	679.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18	-3.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	659.000	190.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	693.000	175.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	678.000	179.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19	-2.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	668.000	187.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	703.000	173.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	679.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	-1.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	674.000	187.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	710.000	172.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	673.000	181.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21	0.000	39.780	13.390	43.095	11.115	18.327	4.021	3.903	71.525	NaN	NaN	NaN	0.000	44.005	13.260	45.500	12.805	22.370	1.563	1.563	34.958	NaN	NaN	NaN	0.000	45.110	16.445	52.130	15.860	22.743	7.044	7.029	159.857	NaN	NaN	NaN	14.000	44.070	12.480	44.265	12.415	22.836	0.206	0.206	4.694	0.206	NaN	NaN	76.000	47.840	11.375	48.880	10.920	25.118	1.135	1.130	28.388	1.130	NaN	NaN	82.000	44.460	12.025	45.175	11.765	23.372	0.761	0.761	17.779	0.761	NaN	NaN
22	1.000	39.780	13.390	43.290	10.985	18.327	4.255	4.131	75.708	0.228	0.234	NaN	1.000	43.810	13.390	45.695	12.740	22.146	1.994	1.993	44.126	0.430	0.206	-0.227	1.000	45.175	16.445	52.195	15.860	22.807	7.044	7.029	160.313	1.962E-4	0.065	0.065	15.000	44.070	12.350	44.330	12.220	22.899	0.291	0.288	6.599	0.083	0.145	0.058	77.000	47.710	11.505	48.230	11.180	25.036	0.613	0.595	14.906	-0.535	-0.689	-0.179	83.000	44.850	11.765	45.825	11.440	23.660	1.028	1.028	24.315	0.267	0.719	0.452
