dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-20.000	174.294	647.463	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-20.000	187.706	648.133	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-19.000	182.882	646.740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-19.000	194.294	648.967	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-18.000	175.235	645.839	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-18.000	174.529	649.309	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-17.000	179.765	648.324	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-17.000	167.529	645.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-16.000	177.824	650.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-16.000	165.824	642.881	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-15.000	179.353	650.294	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-15.000	169.765	646.861	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-14.000	184.778	689.520	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-14.000	187.706	648.133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-14.000	179.706	648.999	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-13.000	144.962	665.695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-13.000	194.294	648.967	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-13.000	162.588	641.732	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-12.000	146.690	665.893	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-12.000	184.235	649.309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-12.000	152.294	640.447	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-11.000	148.800	662.249	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-11.000	167.529	645.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-11.000	140.070	631.435	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-10.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-10.000	148.367	661.488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-10.000	185.059	642.881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-10.000	140.804	631.927	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-9.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-9.000	145.733	614.770	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-9.000	190.294	646.861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-9.000	138.717	630.601	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-8.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-8.000	138.524	608.255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-8.000	194.235	648.999	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-8.000	136.556	628.513	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-7.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-7.000	138.880	609.295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-7.000	162.588	641.732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-7.000	134.333	625.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN
