 	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)	T (13)	Base X (13)	Base Y (13)	Tip X (13)	Tip Y (13)	||[body,base]|| (13)	||[base,tip]||  (13)	||[base,tip]|| : [body,base] (13)	[base,tip] ? [body,base] (13)	?||[base,tip]|| : [body,base] (13)	||[tip(t-1),tip(t)]|| : [base,tip] (13)	||[base(t-1),base(t)]|| : [base,tip] (13)	T (14)	Base X (14)	Base Y (14)	Tip X (14)	Tip Y (14)	||[body,base]|| (14)	||[base,tip]||  (14)	||[base,tip]|| : [body,base] (14)	[base,tip] ? [body,base] (14)	?||[base,tip]|| : [body,base] (14)	||[tip(t-1),tip(t)]|| : [base,tip] (14)	||[base(t-1),base(t)]|| : [base,tip] (14)	T (15)	Base X (15)	Base Y (15)	Tip X (15)	Tip Y (15)	||[body,base]|| (15)	||[base,tip]||  (15)	||[base,tip]|| : [body,base] (15)	[base,tip] ? [body,base] (15)	?||[base,tip]|| : [body,base] (15)	||[tip(t-1),tip(t)]|| : [base,tip] (15)	||[base(t-1),base(t)]|| : [base,tip] (15)	T (16)	Base X (16)	Base Y (16)	Tip X (16)	Tip Y (16)	||[body,base]|| (16)	||[base,tip]||  (16)	||[base,tip]|| : [body,base] (16)	[base,tip] ? [body,base] (16)	?||[base,tip]|| : [body,base] (16)	||[tip(t-1),tip(t)]|| : [base,tip] (16)	||[base(t-1),base(t)]|| : [base,tip] (16)	T (17)	Base X (17)	Base Y (17)	Tip X (17)	Tip Y (17)	||[body,base]|| (17)	||[base,tip]||  (17)	||[base,tip]|| : [body,base] (17)	[base,tip] ? [body,base] (17)	?||[base,tip]|| : [body,base] (17)	||[tip(t-1),tip(t)]|| : [base,tip] (17)	||[base(t-1),base(t)]|| : [base,tip] (17)	T (18)	Base X (18)	Base Y (18)	Tip X (18)	Tip Y (18)	||[body,base]|| (18)	||[base,tip]||  (18)	||[base,tip]|| : [body,base] (18)	[base,tip] ? [body,base] (18)	?||[base,tip]|| : [body,base] (18)	||[tip(t-1),tip(t)]|| : [base,tip] (18)	||[base(t-1),base(t)]|| : [base,tip] (18)
1	-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	413.000	551.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	413.000	614.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	395.000	633.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	369.000	667.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	387.000	667.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	270.000	528.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	465.000	550.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	289.000	571.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	315.000	625.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	288.000	673.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	412.000	524.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	413.000	552.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	413.000	614.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	395.000	632.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	368.000	667.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	388.000	666.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	281.000	539.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	465.000	552.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	287.000	567.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	315.000	627.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	288.000	673.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	427.000	509.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	413.000	551.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	413.000	615.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	396.000	632.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	371.000	666.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	389.000	666.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	280.000	536.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	468.000	551.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	287.000	567.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	319.000	628.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	288.000	673.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	427.000	510.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	413.000	551.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	414.000	615.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	397.000	633.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	359.000	688.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	377.000	670.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	281.000	539.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	468.000	550.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	288.000	568.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	317.000	624.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	288.000	674.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	428.000	507.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	415.000	550.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	414.000	615.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	396.000	634.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	362.000	688.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	389.000	666.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	281.000	539.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	467.000	551.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	288.000	568.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	316.000	625.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	285.000	674.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	420.000	506.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	414.000	550.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	414.000	616.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	398.000	633.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	367.000	688.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	389.000	666.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	281.000	540.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	468.000	549.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	287.000	567.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	315.000	626.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	298.000	670.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	421.000	504.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	414.000	550.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	415.000	616.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	398.000	635.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	370.000	686.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	388.000	667.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	281.000	538.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	467.000	551.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	287.000	566.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	314.000	627.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	291.000	674.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	420.000	505.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	418.000	547.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	414.000	616.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	398.000	636.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	370.000	688.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	388.000	666.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	283.000	541.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	467.000	551.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	288.000	568.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	314.000	627.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	283.000	673.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	419.000	505.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	418.000	546.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	416.000	617.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	399.000	636.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	383.000	677.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	388.000	666.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	270.000	528.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	468.000	550.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	288.000	568.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	315.000	627.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	284.000	674.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	417.000	505.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	416.000	547.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	416.000	618.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	399.000	636.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	378.000	682.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	388.000	666.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	270.000	528.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	468.000	550.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	288.000	567.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	315.000	627.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	286.000	674.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	418.000	502.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
