dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)	T (18)	dT (18)	Base Mean (18)	Body Mean (18)	Proj Mean (18)	Tip Mean (18)	Tip Th Mean (18)	Length (18)	dL (18)	DCTM (18)	DCBM (18)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-20.000	290.846	810.803	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-20.000	239.095	806.317	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-20.000	348.227	806.317	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-20.000	443.850	850.616	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-20.000	289.294	841.976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-20.000	243.000	840.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-20.000	227.235	822.545	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-20.000	306.576	822.545	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-20.000	490.444	815.119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-20.000	515.487	837.120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-20.000	390.118	861.890	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-19.000	305.067	810.521	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-19.000	227.083	804.990	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-19.000	364.520	804.990	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-19.000	428.900	850.551	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-19.000	264.321	840.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-19.000	275.227	834.369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-19.000	214.879	816.533	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-19.000	272.038	816.533	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-19.000	505.974	819.885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-19.000	526.487	837.933	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-19.000	267.375	850.437	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-18.000	288.111	811.123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-18.000	233.348	804.883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-18.000	350.696	804.883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-18.000	412.278	847.973	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-18.000	245.231	834.369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-18.000	264.136	839.780	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-18.000	228.258	816.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-18.000	269.586	816.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-18.000	808.056	819.886	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-18.000	510.743	840.866	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-18.000	259.710	851.185	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-17.000	300.179	807.095	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-17.000	237.000	803.833	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-17.000	340.600	803.833	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-17.000	376.483	848.504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-17.000	311.600	839.780	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-17.000	281.091	828.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-17.000	223.300	812.758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-17.000	285.778	812.758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-17.000	796.559	821.640	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-17.000	502.194	837.721	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-17.000	264.586	855.923	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-16.000	293.867	809.364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-16.000	239.562	809.731	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-16.000	349.667	809.731	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-16.000	342.565	849.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-16.000	237.500	828.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-16.000	275.955	826.627	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-16.000	223.226	828.225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-16.000	288.207	828.225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-16.000	799.771	827.226	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-16.000	454.765	843.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-16.000	301.327	857.768	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-15.000	275.357	808.143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-15.000	228.364	812.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-15.000	312.091	812.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-15.000	298.172	842.272	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-15.000	240.857	826.627	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-15.000	277.864	822.827	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-15.000	214.562	823.178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-15.000	267.321	823.178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-15.000	787.829	827.078	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-15.000	614.114	850.589	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	-15.000	299.431	852.699	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-14.000	292.552	806.317	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-14.000	227.774	813.225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-14.000	327.778	813.225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-14.000	302.579	841.976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-14.000	232.121	822.827	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-14.000	291.727	822.545	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-14.000	195.516	822.929	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-14.000	272.679	822.929	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-14.000	706.902	825.945	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-14.000	545.114	857.044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-14.000	297.522	883.203	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-13.000	276.062	804.990	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-13.000	236.316	813.177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-13.000	363.885	813.177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-13.000	293.120	840.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-13.000	238.767	822.545	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-13.000	304.818	816.533	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-13.000	184.727	825.412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-13.000	277.393	825.412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-13.000	688.368	826.530	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-13.000	427.485	855.989	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-13.000	302.064	848.684	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-12.000	279.667	804.883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-12.000	226.656	814.587	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-12.000	361.783	814.587	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-12.000	278.821	834.369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-12.000	247.828	816.533	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-12.000	258.529	816.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-12.000	172.719	826.402	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-12.000	277.071	826.402	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-12.000	739.162	827.405	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-12.000	409.875	861.890	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-12.000	303.804	850.447	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-11.000	283.400	803.833	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-11.000	226.345	811.588	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-11.000	367.241	811.588	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-11.000	328.308	839.780	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-11.000	255.862	816.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-11.000	265.949	812.758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-11.000	181.903	814.763	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-11.000	294.067	814.763	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-11.000	685.024	828.311	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-11.000	440.500	850.437	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-11.000	295.524	853.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN
