 	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)
1	-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	433.000	410.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	482.000	452.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	433.000	510.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	426.000	420.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	457.000	431.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	437.000	412.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	433.000	411.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	481.000	452.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	436.000	508.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	426.000	412.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	456.000	430.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	440.000	412.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	433.000	411.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	481.000	452.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	429.000	513.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	424.000	419.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	431.000	417.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	445.000	419.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	432.000	411.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	481.000	453.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	430.000	514.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	426.000	419.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	433.000	417.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	443.000	416.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	432.000	412.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	481.000	453.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	430.000	515.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	426.000	418.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	434.000	419.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	442.000	412.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	431.000	413.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	481.000	453.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	431.000	515.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	426.000	417.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	434.000	420.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	442.000	414.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	431.000	413.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	481.000	453.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	433.000	514.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	426.000	416.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	435.000	420.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	442.000	412.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	431.000	413.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	481.000	453.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	434.000	513.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	426.000	415.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	437.000	419.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	447.000	410.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	431.000	414.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	481.000	453.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	431.000	516.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	426.000	414.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	437.000	419.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	449.000	410.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	431.000	415.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	481.000	453.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	434.000	513.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	426.000	413.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	440.000	417.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	440.000	412.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
