dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-20.000	399.951	1179.414	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-20.000	291.528	1199.785	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-20.000	367.708	1226.504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-20.000	415.441	1222.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-20.000	280.238	1258.773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-20.000	420.643	1382.776	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-19.000	409.700	1186.987	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-19.000	285.486	1203.833	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-19.000	378.583	1230.741	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-19.000	314.526	1211.996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-19.000	254.047	1256.381	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-19.000	372.667	1379.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-18.000	441.929	1189.629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-18.000	290.789	1202.660	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-18.000	358.895	1232.499	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-18.000	397.971	1224.183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-18.000	460.923	1403.119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-18.000	326.759	1231.834	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-17.000	456.682	1194.149	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-17.000	290.795	1204.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-17.000	342.944	1233.394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-17.000	386.000	1223.582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-17.000	436.538	1407.104	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-17.000	338.400	1231.893	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-16.000	451.310	1197.678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-16.000	291.028	1205.867	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-16.000	333.833	1226.680	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-16.000	421.800	1223.697	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-16.000	426.846	1409.713	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-16.000	384.871	1236.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-15.000	451.341	1198.652	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-15.000	287.971	1211.249	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-15.000	342.263	1217.236	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-15.000	451.892	1226.126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-15.000	404.308	1415.202	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-15.000	370.724	1231.768	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-14.000	473.927	1195.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-14.000	300.029	1212.764	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-14.000	358.389	1216.428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-14.000	429.590	1229.272	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-14.000	427.000	1414.294	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-14.000	390.964	1230.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-13.000	458.684	1194.855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-13.000	300.649	1218.079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-13.000	364.762	1208.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-13.000	466.077	1237.591	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-13.000	359.385	1398.462	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-13.000	335.083	1373.734	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-12.000	449.000	1199.513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-12.000	306.459	1220.224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-12.000	339.565	1204.511	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-12.000	435.583	1232.406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-12.000	366.000	1382.776	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-12.000	338.960	1235.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-11.000	517.405	1198.547	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-11.000	310.789	1219.603	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-11.000	371.458	1211.142	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-11.000	451.727	1234.428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-11.000	365.231	1379.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-11.000	493.633	1241.166	NaN	NaN	NaN	NaN	NaN	NaN	NaN
