T	X	Y	Mean	StdDev
1.000	13.845	25.545	542.557	314.536
2.000	13.845	25.545	542.566	321.070
3.000	13.715	25.545	542.017	321.094
4.000	13.715	25.480	542.731	325.776
5.000	13.650	25.675	541.885	327.809
6.000	13.910	25.545	538.263	328.312
7.000	13.845	25.610	540.032	330.216
8.000	13.845	25.480	542.162	329.026
9.000	13.845	25.675	542.888	330.239
10.000	13.910	25.480	544.540	329.875
11.000	13.910	25.545	544.370	327.175
12.000	13.910	25.545	547.085	325.758
13.000	13.975	25.740	546.576	324.035
14.000	13.975	25.675	545.523	325.704
15.000	13.975	25.675	544.647	327.685
16.000	14.040	25.610	543.715	328.737
17.000	13.975	25.805	538.928	322.052
18.000	13.910	25.480	537.096	323.662
19.000	13.910	25.415	540.184	321.368
20.000	13.910	25.610	540.590	320.530
21.000	13.910	25.480	544.548	320.849
22.000	13.910	25.545	543.952	321.634
23.000	16.575	25.415	503.998	329.859
24.000	13.845	25.350	543.740	324.677
25.000	16.705	25.480	506.725	333.887
26.000	16.835	25.415	506.549	333.210
27.000	16.965	25.675	506.702	330.037
28.000	16.965	25.935	504.542	329.840
29.000	16.900	25.805	502.310	331.618
30.000	16.965	25.805	499.874	332.149
31.000	16.835	25.870	499.817	330.548
32.000	16.900	25.870	496.534	329.573
33.000	16.900	25.935	501.410	328.399
34.000	16.900	25.935	492.879	323.015
35.000	16.900	26.000	496.753	320.002
36.000	16.900	25.870	487.146	316.101
37.000	16.835	25.090	500.549	314.358
38.000	16.900	25.935	494.732	314.920
39.000	16.705	25.935	495.468	314.168
40.000	16.640	25.935	491.834	311.999
41.000	16.510	26.000	495.125	314.745
42.000	16.640	26.065	494.862	311.447
43.000	16.900	26.000	496.183	313.479
44.000	16.640	25.935	496.224	311.116
45.000	16.770	25.870	491.360	312.577
46.000	16.705	25.870	494.257	313.561
47.000	16.640	25.740	495.911	312.635
48.000	16.510	25.610	499.117	313.016
49.000	16.510	25.610	499.948	313.285
50.000	16.510	25.740	502.444	315.730
51.000	16.445	25.610	503.062	311.778
52.000	16.250	25.805	506.465	310.921
53.000	16.250	25.805	504.608	307.601
54.000	16.185	25.740	505.418	305.502
55.000	16.185	25.675	509.357	304.429
56.000	16.250	25.805	510.702	300.834
57.000	15.990	26.065	508.120	298.004
58.000	16.055	25.935	512.901	297.794
59.000	16.120	25.935	511.613	299.717
60.000	16.055	26.130	512.802	300.277
61.000	16.055	26.130	513.180	298.594
62.000	15.795	26.065	516.956	299.762
63.000	15.730	25.935	515.319	301.417
64.000	15.600	25.870	521.442	299.400
65.000	16.120	25.480	518.709	295.498
66.000	15.535	25.350	520.701	294.216
67.000	16.120	25.285	517.963	292.232
68.000	15.405	25.350	523.225	289.668
69.000	15.405	25.155	522.506	292.232
70.000	15.340	25.220	521.013	290.724
71.000	15.275	25.285	520.220	288.316
72.000	15.340	25.350	521.568	288.866
73.000	15.860	25.155	516.963	289.814
74.000	15.145	25.220	522.684	286.082
75.000	15.145	25.220	521.669	284.864
76.000	15.665	25.415	519.038	285.378
77.000	15.145	25.220	524.451	287.562
78.000	15.145	25.350	526.086	288.196
79.000	15.080	25.545	525.165	287.779
80.000	14.950	25.675	527.355	289.527
81.000	14.885	25.675	529.364	292.550
82.000	15.080	25.740	526.747	292.875
83.000	14.885	25.675	534.756	292.871
84.000	14.950	25.805	530.109	293.508
85.000	15.015	25.675	530.589	298.652
86.000	15.015	25.415	527.301	296.271
87.000	15.015	25.870	530.507	295.858
88.000	15.015	25.480	531.643	290.550
89.000	15.080	25.480	530.001	291.602
90.000	15.145	25.350	534.947	292.363
91.000	15.210	26.065	529.229	290.131
92.000	15.340	26.065	529.649	289.355
93.000	15.405	26.130	525.550	287.702
94.000	15.535	26.260	526.773	288.187
95.000	15.600	25.220	528.542	284.449
96.000	15.600	25.155	530.505	285.240
97.000	15.665	25.935	523.256	285.152
98.000	15.665	26.000	526.921	285.942
99.000	15.600	26.000	527.591	282.352
100.000	15.600	25.805	533.072	282.473
101.000	15.535	25.090	539.001	281.093
102.000	15.535	25.480	533.983	283.214
103.000	15.405	25.545	532.855	280.176
104.000	15.600	25.155	528.520	283.315
105.000	15.340	25.090	532.572	284.378
106.000	15.535	25.220	529.046	283.940
107.000	15.405	25.090	533.111	284.736
108.000	15.470	25.220	535.802	284.198
109.000	15.470	25.415	534.659	284.667
110.000	15.405	25.480	532.731	286.182
111.000	15.600	25.415	526.529	286.929
112.000	15.600	25.545	523.950	287.843
113.000	15.860	25.480	522.987	289.510
114.000	16.055	25.545	530.443	286.179
115.000	16.055	25.480	534.226	288.068
116.000	16.055	25.480	529.787	289.194
117.000	15.925	25.610	531.720	287.561
118.000	15.925	25.610	534.975	289.278
119.000	15.795	25.740	539.594	291.300
120.000	15.730	25.610	535.274	290.398
121.000	15.730	25.675	534.777	287.291
