dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-20.000	228.818	542.888	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-20.000	241.550	506.725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-20.000	152.520	496.183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-20.000	136.533	494.257	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-20.000	140.600	516.956	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-20.000	279.281	520.220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-20.000	195.900	521.669	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-20.000	162.077	530.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-19.000	218.927	544.540	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-19.000	234.235	506.549	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-19.000	159.952	496.224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-19.000	127.233	495.911	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-19.000	139.233	515.319	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-19.000	261.115	521.568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-19.000	194.622	519.038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-19.000	161.567	534.947	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-18.000	218.800	544.370	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-18.000	223.294	506.702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-18.000	159.059	491.360	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-18.000	129.533	499.117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-18.000	146.500	521.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-18.000	264.111	516.963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-18.000	209.763	524.451	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-18.000	155.467	529.229	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-17.000	214.938	547.085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-17.000	170.176	504.542	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-17.000	161.353	494.257	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-17.000	132.400	499.948	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-17.000	147.760	518.709	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-17.000	263.833	522.684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-17.000	205.324	526.086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-17.000	162.793	529.649	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-16.000	209.628	546.576	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-16.000	233.412	502.310	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-16.000	170.077	495.911	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-16.000	131.367	502.444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-16.000	144.520	520.701	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-16.000	248.960	521.669	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-16.000	210.238	525.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-16.000	162.444	525.550	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-15.000	212.613	545.523	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-15.000	159.471	499.874	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-15.000	169.308	499.117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-15.000	137.212	503.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-15.000	143.480	517.963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-15.000	255.818	519.038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-15.000	209.575	527.355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	-15.000	155.000	526.773	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-14.000	207.966	544.647	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-14.000	172.400	499.817	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-14.000	167.000	499.948	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-14.000	130.400	506.465	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-14.000	149.276	523.225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-14.000	284.286	524.451	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-14.000	196.100	529.364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-14.000	173.615	528.542	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-13.000	215.432	543.715	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-13.000	164.824	496.534	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-13.000	174.846	502.444	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-13.000	130.433	504.608	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-13.000	151.000	522.506	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-13.000	275.071	526.086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-13.000	195.800	526.747	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-13.000	182.067	530.505	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-12.000	222.033	542.557	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-12.000	222.867	538.928	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-12.000	173.059	501.410	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-12.000	170.846	503.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-12.000	136.171	505.418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-12.000	152.240	521.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-12.000	298.643	525.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-12.000	219.821	534.756	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-12.000	158.214	523.256	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-11.000	222.257	542.566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-11.000	218.324	537.096	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-11.000	164.471	492.879	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-11.000	179.160	506.465	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-11.000	132.367	509.357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-11.000	153.520	520.220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-11.000	290.969	527.355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-11.000	191.360	530.109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-11.000	162.200	526.921	NaN	NaN	NaN	NaN	NaN	NaN	NaN
