T	X	Y	Mean	StdDev
1.000	14.950	8.255	663.569	274.578
2.000	14.950	8.255	640.119	265.443
3.000	14.950	8.190	637.913	265.301
4.000	14.950	8.255	636.989	261.990
5.000	14.885	8.255	641.068	259.772
6.000	14.885	8.255	633.618	263.151
7.000	14.885	8.385	629.225	261.102
8.000	14.885	8.580	630.901	259.731
9.000	14.820	8.645	627.228	261.184
10.000	14.755	8.580	630.785	258.185
11.000	14.690	8.580	633.644	258.087
12.000	14.625	8.515	637.777	253.088
13.000	14.625	8.385	630.793	255.391
14.000	14.625	8.255	628.690	258.470
15.000	14.690	8.320	639.269	249.898
16.000	14.690	8.255	628.276	252.877
17.000	14.625	8.255	632.382	255.551
18.000	14.560	8.255	635.393	252.433
19.000	14.625	8.255	638.781	252.345
20.000	14.560	8.255	649.006	250.717
21.000	14.755	8.255	649.917	249.734
22.000	14.690	8.320	650.549	250.876
23.000	14.885	8.320	656.704	251.069
24.000	14.885	8.255	660.597	249.465
25.000	14.820	8.255	660.664	247.475
26.000	14.885	8.255	666.091	249.663
27.000	14.820	8.320	662.843	255.160
28.000	14.885	8.320	662.112	255.393
29.000	14.820	8.255	663.867	255.272
30.000	14.820	8.190	661.672	252.841
31.000	14.885	8.190	662.400	254.914
32.000	14.820	8.125	666.504	253.962
33.000	14.755	8.125	658.268	256.093
34.000	14.690	8.190	659.241	255.541
35.000	14.755	8.320	658.943	257.551
36.000	14.820	8.320	654.588	257.974
37.000	14.885	8.320	657.541	261.432
38.000	14.820	8.255	651.596	262.717
39.000	14.885	8.190	650.449	262.418
40.000	14.820	8.190	648.890	261.501
41.000	14.885	8.190	643.530	265.293
42.000	14.885	8.385	647.744	260.067
43.000	14.885	8.320	646.713	258.029
44.000	14.885	8.320	646.464	261.497
45.000	14.885	8.320	644.967	260.484
46.000	14.885	8.255	646.321	261.793
47.000	14.820	8.775	645.193	264.807
48.000	14.885	8.840	652.754	257.611
49.000	14.950	9.555	649.177	257.942
50.000	14.885	9.685	651.435	257.709
51.000	14.885	9.685	655.189	255.985
52.000	14.885	9.620	655.424	252.912
53.000	14.885	9.685	657.121	253.203
54.000	14.885	9.685	655.042	251.147
55.000	14.885	9.620	660.851	250.686
56.000	14.885	9.490	661.423	249.359
57.000	14.820	9.425	667.426	251.444
58.000	14.885	9.360	665.117	248.956
59.000	14.885	9.295	666.375	248.633
60.000	14.820	9.295	664.280	243.975
61.000	14.885	9.230	661.101	249.600
62.000	14.950	9.230	662.987	247.199
63.000	14.885	9.230	663.934	245.359
64.000	14.885	9.230	666.179	244.467
65.000	14.950	9.165	667.929	245.043
66.000	14.950	9.165	665.655	249.022
67.000	14.950	9.165	668.359	249.272
68.000	14.950	9.165	667.121	244.861
69.000	14.950	9.425	659.012	246.378
70.000	14.885	9.490	662.028	247.357
71.000	14.885	9.425	665.649	242.837
72.000	14.885	9.425	663.455	243.492
73.000	14.950	9.360	664.225	240.656
74.000	14.625	9.360	517.832	304.637
75.000	14.820	9.425	658.633	238.894
76.000	14.820	9.425	656.840	237.589
77.000	14.885	9.425	658.895	237.480
78.000	14.885	9.425	654.674	236.771
79.000	14.820	9.490	653.959	235.286
80.000	14.820	9.620	653.811	234.368
81.000	14.755	9.750	659.389	231.313
82.000	14.820	10.140	655.667	230.765
83.000	14.755	10.075	652.029	230.300
84.000	14.820	10.140	649.094	233.266
85.000	14.755	10.010	657.992	229.199
86.000	14.625	10.140	655.485	229.086
87.000	14.690	11.310	647.792	234.177
88.000	14.820	10.400	650.021	228.817
89.000	14.885	11.310	645.109	234.710
90.000	14.885	10.140	653.327	229.534
91.000	14.950	10.270	649.350	230.367
92.000	14.950	10.205	652.443	230.739
93.000	14.885	10.205	649.479	228.684
94.000	14.820	10.205	652.507	229.726
95.000	14.885	10.205	657.645	227.552
96.000	14.885	10.010	656.830	226.898
97.000	14.950	10.920	649.755	229.736
98.000	14.950	10.075	657.293	227.790
99.000	14.950	10.010	654.770	231.510
100.000	14.950	10.725	655.471	234.839
101.000	14.885	10.790	652.949	234.610
102.000	14.885	10.660	648.991	232.127
103.000	14.885	10.660	649.310	234.535
104.000	14.885	10.530	649.272	233.630
105.000	14.885	10.530	647.317	233.143
106.000	14.885	10.400	649.880	231.949
107.000	14.885	10.465	650.631	231.368
108.000	14.820	10.400	647.407	227.141
109.000	14.820	10.270	651.259	224.084
110.000	14.820	10.270	648.657	222.701
111.000	14.950	10.335	642.792	225.727
112.000	14.885	10.140	647.339	220.319
113.000	14.885	10.140	646.938	221.559
114.000	14.820	10.205	650.847	219.551
115.000	14.755	10.075	651.435	219.568
116.000	14.755	10.010	648.693	220.120
117.000	14.755	10.010	648.488	223.363
118.000	14.755	9.945	646.807	219.805
119.000	14.755	9.945	645.131	219.605
120.000	14.820	9.945	642.713	223.465
121.000	14.820	10.010	640.476	221.240
