T	X	Y	Mean	StdDev
1.000	22.360	7.540	405.012	185.088
2.000	22.360	7.605	388.184	179.747
3.000	22.360	7.540	389.372	178.306
4.000	22.490	7.475	386.524	176.299
5.000	22.425	7.410	383.997	174.924
6.000	20.995	6.045	393.108	174.513
7.000	20.995	5.980	395.500	173.359
8.000	20.930	5.590	406.330	170.318
9.000	22.425	7.280	391.811	173.995
10.000	22.360	7.215	392.085	172.162
11.000	22.425	7.215	391.027	173.589
12.000	21.255	6.175	395.760	171.615
13.000	20.995	5.980	398.868	171.068
14.000	21.125	6.045	404.138	169.836
15.000	20.995	5.525	407.592	168.383
16.000	20.930	5.590	409.595	168.001
17.000	21.060	5.980	408.318	166.491
18.000	20.930	5.980	405.654	164.066
19.000	21.060	5.980	407.391	163.391
20.000	21.775	6.760	401.280	163.910
21.000	21.060	5.980	407.145	161.964
22.000	20.865	5.590	407.267	160.550
23.000	21.645	6.565	404.266	159.276
24.000	21.515	6.435	404.098	159.979
25.000	21.580	5.590	409.396	159.911
26.000	21.515	5.525	410.427	162.868
27.000	21.645	6.110	409.297	159.865
28.000	21.710	5.395	409.730	161.187
29.000	21.775	5.980	403.821	156.301
30.000	21.645	5.980	405.075	155.298
31.000	21.840	5.915	406.318	158.935
32.000	21.840	5.785	411.315	156.072
33.000	21.905	5.655	406.671	158.541
34.000	21.905	5.525	400.415	155.671
35.000	21.710	5.460	401.511	154.179
36.000	21.905	5.330	398.955	150.217
37.000	21.840	5.330	399.436	155.191
38.000	21.775	5.265	406.067	155.584
39.000	21.775	5.265	406.368	155.124
40.000	21.710	5.395	409.244	154.554
41.000	21.580	5.330	410.479	155.143
42.000	21.645	5.655	416.866	156.213
43.000	21.710	5.265	419.448	159.950
44.000	21.840	5.265	421.596	161.932
45.000	21.840	5.200	422.672	164.249
46.000	21.840	5.200	425.710	160.643
47.000	21.840	5.330	422.865	164.072
48.000	21.905	5.395	420.270	165.733
49.000	21.710	5.330	419.094	164.916
50.000	21.970	5.265	422.099	166.729
51.000	22.035	5.330	419.385	170.025
52.000	22.035	5.330	416.988	170.223
53.000	22.100	5.200	424.150	171.053
54.000	21.970	5.395	417.513	171.910
55.000	21.970	5.265	423.305	170.970
56.000	22.100	5.590	416.217	172.694
57.000	21.970	5.265	418.745	171.586
58.000	21.840	5.265	421.819	170.170
59.000	21.905	5.720	420.451	171.438
60.000	21.775	5.655	420.982	170.452
61.000	21.840	5.525	424.567	168.168
62.000	21.840	5.590	423.454	167.898
63.000	21.710	5.720	418.568	169.397
64.000	21.840	5.460	423.341	171.371
65.000	21.840	5.330	416.509	169.916
66.000	22.100	5.330	418.228	169.484
67.000	21.905	5.785	415.032	167.031
68.000	21.970	5.785	416.091	164.412
69.000	22.360	5.785	410.396	163.191
70.000	22.555	5.785	411.192	160.898
71.000	22.360	5.785	412.606	161.694
72.000	22.035	5.915	409.858	160.784
73.000	22.100	6.240	411.908	161.612
74.000	22.035	6.175	417.151	159.670
75.000	22.165	6.175	417.851	159.476
76.000	22.425	6.175	418.067	159.679
77.000	22.360	6.175	421.793	158.165
78.000	22.490	6.370	424.159	158.709
79.000	22.620	6.370	423.249	156.899
80.000	22.490	6.240	421.823	155.917
81.000	22.490	6.305	419.311	154.102
82.000	22.490	6.305	419.262	152.704
83.000	22.490	6.370	421.865	152.560
84.000	22.555	6.240	424.434	151.246
85.000	22.750	6.305	424.908	149.620
86.000	22.620	6.240	425.800	147.688
87.000	22.620	6.305	420.714	150.517
88.000	22.555	6.240	426.894	150.896
89.000	22.555	6.305	421.387	152.665
90.000	22.555	6.370	429.765	150.353
91.000	22.685	6.825	420.317	151.602
92.000	22.685	6.955	418.444	151.629
93.000	22.620	6.110	426.026	151.156
94.000	22.620	6.955	422.596	152.714
95.000	22.750	7.085	426.979	152.036
96.000	22.490	6.955	426.368	152.176
97.000	22.555	7.020	428.962	153.462
98.000	22.425	7.020	430.625	155.126
99.000	22.360	6.890	432.835	158.452
100.000	22.360	6.825	428.560	158.378
101.000	22.230	6.760	427.791	154.304
102.000	22.230	6.760	428.849	154.519
103.000	22.035	6.565	433.259	154.850
104.000	21.970	6.500	434.461	156.513
105.000	21.905	6.500	436.664	157.244
106.000	22.035	6.565	441.808	160.708
107.000	22.100	6.435	444.849	159.102
108.000	21.970	6.370	438.673	158.805
109.000	21.970	6.370	436.715	159.096
110.000	21.970	6.370	436.649	158.189
111.000	21.840	6.435	430.983	159.722
112.000	22.035	6.370	430.122	157.778
113.000	22.035	6.240	428.370	160.221
114.000	22.295	6.695	426.286	159.346
115.000	22.425	6.890	427.653	156.417
116.000	22.360	6.890	421.935	156.701
117.000	22.425	6.890	421.180	153.052
118.000	22.360	6.890	413.225	153.162
119.000	22.490	6.955	410.129	151.645
120.000	22.555	7.020	407.378	151.559
121.000	22.555	7.085	409.146	148.595
