 	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)	T (13)	Base X (13)	Base Y (13)	Tip X (13)	Tip Y (13)	||[body,base]|| (13)	||[base,tip]||  (13)	||[base,tip]|| : [body,base] (13)	[base,tip] ? [body,base] (13)	?||[base,tip]|| : [body,base] (13)	||[tip(t-1),tip(t)]|| : [base,tip] (13)	||[base(t-1),base(t)]|| : [base,tip] (13)	T (14)	Base X (14)	Base Y (14)	Tip X (14)	Tip Y (14)	||[body,base]|| (14)	||[base,tip]||  (14)	||[base,tip]|| : [body,base] (14)	[base,tip] ? [body,base] (14)	?||[base,tip]|| : [body,base] (14)	||[tip(t-1),tip(t)]|| : [base,tip] (14)	||[base(t-1),base(t)]|| : [base,tip] (14)	T (15)	Base X (15)	Base Y (15)	Tip X (15)	Tip Y (15)	||[body,base]|| (15)	||[base,tip]||  (15)	||[base,tip]|| : [body,base] (15)	[base,tip] ? [body,base] (15)	?||[base,tip]|| : [body,base] (15)	||[tip(t-1),tip(t)]|| : [base,tip] (15)	||[base(t-1),base(t)]|| : [base,tip] (15)	T (16)	Base X (16)	Base Y (16)	Tip X (16)	Tip Y (16)	||[body,base]|| (16)	||[base,tip]||  (16)	||[base,tip]|| : [body,base] (16)	[base,tip] ? [body,base] (16)	?||[base,tip]|| : [body,base] (16)	||[tip(t-1),tip(t)]|| : [base,tip] (16)	||[base(t-1),base(t)]|| : [base,tip] (16)	T (17)	Base X (17)	Base Y (17)	Tip X (17)	Tip Y (17)	||[body,base]|| (17)	||[base,tip]||  (17)	||[base,tip]|| : [body,base] (17)	[base,tip] ? [body,base] (17)	?||[base,tip]|| : [body,base] (17)	||[tip(t-1),tip(t)]|| : [base,tip] (17)	||[base(t-1),base(t)]|| : [base,tip] (17)
1	-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	104.000	237.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	202.000	191.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	222.000	293.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	231.000	298.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	230.000	227.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	243.000	221.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	156.000	141.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	250.000	219.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	153.000	139.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	304.000	274.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	104.000	233.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	198.000	192.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	223.000	298.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	231.000	297.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	228.000	227.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	244.000	221.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	158.000	149.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	251.000	221.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	153.000	141.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	307.000	274.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	104.000	234.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	200.000	192.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	223.000	297.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	231.000	295.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	229.000	227.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	244.000	221.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	156.000	149.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	252.000	222.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	153.000	140.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	313.000	277.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	104.000	235.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	201.000	195.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	222.000	295.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	231.000	297.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	228.000	227.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	241.000	222.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	155.000	150.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	253.000	221.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	153.000	142.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	312.000	277.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	104.000	233.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	191.000	194.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	223.000	297.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	231.000	294.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	230.000	225.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	238.000	221.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	152.000	151.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	252.000	219.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	153.000	143.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	303.000	274.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	104.000	237.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	193.000	192.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	218.000	291.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	231.000	299.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	225.000	224.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	237.000	223.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	155.000	140.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	248.000	217.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	153.000	140.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	313.000	278.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	104.000	222.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	193.000	192.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	224.000	298.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	228.000	300.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	230.000	224.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	233.000	218.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	153.000	138.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	246.000	217.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	153.000	143.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	307.000	276.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	104.000	244.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	196.000	197.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	228.000	302.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	228.000	300.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	230.000	221.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	239.000	229.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	152.000	139.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	248.000	216.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	151.000	141.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	311.000	277.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	104.000	244.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	193.000	196.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	224.000	298.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	227.000	299.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	230.000	217.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	240.000	230.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	152.000	138.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	250.000	216.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	150.000	144.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	326.000	283.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	104.000	239.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	194.000	192.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	223.000	297.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	227.000	300.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	230.000	216.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	237.000	228.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	152.000	151.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	253.000	215.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	150.000	145.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	318.000	281.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
