dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-20.000	181.360	451.812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-20.000	180.143	449.806	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-20.000	200.615	449.312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-20.000	155.059	450.837	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-20.000	224.923	445.033	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-20.000	216.231	433.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-20.000	210.960	445.653	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-19.000	199.000	476.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-19.000	184.714	452.961	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-19.000	190.857	451.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-19.000	189.462	450.837	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-19.000	166.154	448.409	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-19.000	221.077	444.989	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-19.000	220.923	429.779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-19.000	204.036	445.750	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-18.000	200.769	454.865	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-18.000	194.800	450.394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-18.000	195.800	452.680	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-18.000	197.538	448.409	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-18.000	175.308	441.618	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-18.000	232.846	445.703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-18.000	208.308	431.538	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-18.000	192.360	446.357	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-17.000	195.933	454.880	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-17.000	175.976	446.930	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-17.000	203.143	456.860	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-17.000	208.462	441.618	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-17.000	171.727	440.336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-17.000	183.393	440.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-17.000	207.884	431.084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-17.000	182.100	448.858	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-16.000	193.867	454.111	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-16.000	170.500	443.486	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-16.000	200.100	458.346	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-16.000	198.308	440.336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-16.000	169.176	442.830	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-16.000	177.167	441.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-16.000	215.475	440.272	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-16.000	187.296	448.225	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-15.000	190.615	451.426	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-15.000	168.132	440.991	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-15.000	201.238	456.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-15.000	201.769	442.830	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-15.000	233.154	448.396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-15.000	217.462	442.881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-15.000	221.409	439.367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-15.000	183.045	445.509	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-14.000	172.312	453.441	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-14.000	162.000	438.841	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-14.000	209.458	459.561	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-14.000	215.077	448.396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-14.000	232.769	447.682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-14.000	216.231	433.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-14.000	227.955	435.255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	-14.000	185.667	446.771	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-13.000	176.385	454.376	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-13.000	166.500	436.951	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-13.000	201.917	458.154	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-13.000	199.615	447.682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-13.000	236.538	447.327	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-13.000	220.923	429.779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-13.000	240.952	438.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	-13.000	184.176	448.646	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-12.000	183.619	455.694	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-12.000	155.400	435.257	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-12.000	209.000	460.739	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-12.000	215.615	447.327	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-12.000	221.077	446.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-12.000	208.308	431.538	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-12.000	232.524	440.629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	-12.000	176.600	444.685	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-11.000	184.167	455.667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-11.000	228.846	438.714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-11.000	207.360	458.563	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-11.000	230.308	446.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-11.000	235.846	447.537	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-11.000	203.393	431.084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-11.000	235.381	438.235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	-11.000	177.833	443.318	NaN	NaN	NaN	NaN	NaN	NaN	NaN
