T	X	Y	Mean	StdDev
1.000	15.145	34.450	965.143	570.339
2.000	15.145	34.580	933.112	557.055
3.000	15.145	34.580	941.434	553.520
4.000	15.080	34.450	937.849	553.849
5.000	14.950	34.645	930.179	537.878
6.000	15.340	34.255	928.665	539.361
7.000	15.275	34.255	933.102	534.944
8.000	15.145	34.255	928.311	531.104
9.000	14.885	34.320	934.382	532.340
10.000	14.885	34.385	934.119	533.725
11.000	14.885	34.385	927.048	532.870
12.000	14.885	34.385	931.082	544.047
13.000	14.950	34.190	932.063	544.484
14.000	14.950	34.320	935.312	545.324
15.000	14.885	34.385	935.564	541.559
16.000	14.885	34.255	937.791	543.844
17.000	14.885	34.190	939.087	551.059
18.000	14.885	34.125	938.757	547.453
19.000	15.080	33.800	948.840	545.907
20.000	15.015	33.995	947.075	544.811
21.000	14.950	33.020	934.476	543.373
22.000	14.950	33.020	935.478	544.715
23.000	14.885	33.150	933.010	542.272
24.000	14.885	33.150	929.090	536.835
25.000	14.885	33.085	926.312	530.185
26.000	14.885	33.215	926.541	531.441
27.000	16.770	30.550	958.704	543.780
28.000	16.640	30.680	954.496	537.464
29.000	14.820	33.280	925.586	530.378
30.000	16.640	30.875	958.047	542.556
31.000	16.770	30.810	964.359	546.281
32.000	16.770	30.875	965.509	550.013
33.000	16.705	30.940	963.480	548.513
34.000	16.705	31.005	965.202	553.338
35.000	16.770	31.005	970.863	555.521
36.000	16.705	31.070	966.663	559.435
37.000	16.900	30.940	961.923	555.743
38.000	16.835	31.135	962.211	551.611
39.000	16.835	31.005	952.096	551.330
40.000	14.950	33.605	933.752	542.873
41.000	14.950	33.475	927.011	539.924
42.000	16.055	31.785	944.075	542.661
43.000	16.835	30.745	955.504	544.227
44.000	16.640	30.940	957.679	545.587
45.000	16.575	31.005	957.296	537.304
46.000	16.835	30.615	959.677	532.164
47.000	16.835	30.550	956.564	533.153
48.000	16.705	29.900	946.404	535.743
49.000	16.640	29.965	943.389	535.825
50.000	17.030	29.770	946.636	536.888
51.000	16.055	30.745	930.307	529.241
52.000	16.575	30.030	941.025	531.357
53.000	16.835	29.770	941.256	524.609
54.000	17.030	29.510	939.495	517.215
55.000	17.290	29.380	943.911	518.625
56.000	16.965	29.640	943.282	511.535
57.000	16.770	29.770	941.894	502.300
58.000	16.575	30.095	935.322	502.140
59.000	16.965	29.445	927.672	503.212
60.000	16.705	29.770	919.756	501.500
61.000	16.770	29.900	923.228	512.562
62.000	14.820	32.630	882.215	499.606
63.000	16.835	30.095	904.046	506.809
64.000	16.835	30.095	905.924	510.570
65.000	17.095	29.900	904.004	515.985
66.000	16.965	29.900	905.583	517.485
67.000	16.835	30.225	910.005	520.356
68.000	16.835	30.225	916.848	530.581
69.000	16.835	30.290	921.088	526.712
70.000	16.965	30.225	926.427	529.963
71.000	17.030	30.030	922.641	528.518
72.000	16.445	30.745	924.882	523.824
73.000	16.770	30.420	924.999	520.177
74.000	16.835	30.290	923.485	517.446
75.000	17.095	29.965	927.945	518.540
76.000	17.095	30.030	938.040	516.539
77.000	17.160	29.900	941.116	518.567
78.000	16.900	30.225	940.641	520.098
79.000	16.900	29.965	952.161	517.912
80.000	15.015	32.500	915.989	508.140
81.000	16.835	30.030	939.461	514.845
82.000	16.705	30.290	927.439	518.673
83.000	16.705	30.225	922.389	527.133
84.000	16.640	30.225	918.312	524.935
85.000	16.705	30.160	911.890	523.116
86.000	14.885	32.565	885.922	510.390
87.000	16.900	29.900	912.752	524.325
88.000	17.160	29.510	905.831	523.526
89.000	17.160	29.380	906.764	523.096
90.000	17.160	27.950	850.442	526.700
91.000	17.030	28.145	845.665	524.474
92.000	14.495	31.395	818.268	504.853
93.000	16.510	28.665	839.284	513.892
94.000	14.560	31.460	819.525	498.492
95.000	14.495	31.460	818.640	493.791
96.000	14.495	31.460	813.345	489.854
97.000	17.160	28.080	845.059	508.770
98.000	17.160	28.145	843.347	502.365
99.000	17.160	28.080	840.601	498.849
100.000	14.560	31.590	815.010	480.463
101.000	14.560	31.590	816.904	483.961
102.000	14.560	31.850	815.935	477.582
103.000	14.430	31.980	816.786	484.337
104.000	17.160	28.535	837.879	498.001
105.000	17.160	28.600	839.568	497.968
106.000	14.495	32.045	816.867	475.149
107.000	17.160	28.730	840.860	492.513
108.000	17.095	28.795	837.863	489.834
109.000	14.495	32.175	812.566	472.742
110.000	14.560	32.110	804.698	467.732
111.000	16.445	29.640	831.590	486.676
112.000	17.030	29.055	819.887	487.360
113.000	17.030	28.990	814.821	484.790
114.000	16.835	29.120	811.392	482.487
115.000	14.625	32.175	785.581	466.881
116.000	14.495	32.240	788.149	471.174
117.000	14.690	31.915	793.043	471.589
118.000	14.560	32.045	785.920	472.225
119.000	14.625	32.045	785.135	470.752
120.000	14.690	32.045	790.415	472.887
121.000	14.625	32.110	791.594	474.733
