dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)	T (18)	dT (18)	Base Mean (18)	Body Mean (18)	Proj Mean (18)	Tip Mean (18)	Tip Th Mean (18)	Length (18)	dL (18)	DCTM (18)	DCBM (18)	T (19)	dT (19)	Base Mean (19)	Body Mean (19)	Proj Mean (19)	Tip Mean (19)	Tip Th Mean (19)	Length (19)	dL (19)	DCTM (19)	DCBM (19)	T (20)	dT (20)	Base Mean (20)	Body Mean (20)	Proj Mean (20)	Tip Mean (20)	Tip Th Mean (20)	Length (20)	dL (20)	DCTM (20)	DCBM (20)	T (21)	dT (21)	Base Mean (21)	Body Mean (21)	Proj Mean (21)	Tip Mean (21)	Tip Th Mean (21)	Length (21)	dL (21)	DCTM (21)	DCBM (21)	T (22)	dT (22)	Base Mean (22)	Body Mean (22)	Proj Mean (22)	Tip Mean (22)	Tip Th Mean (22)	Length (22)	dL (22)	DCTM (22)	DCBM (22)	T (23)	dT (23)	Base Mean (23)	Body Mean (23)	Proj Mean (23)	Tip Mean (23)	Tip Th Mean (23)	Length (23)	dL (23)	DCTM (23)	DCBM (23)	T (24)	dT (24)	Base Mean (24)	Body Mean (24)	Proj Mean (24)	Tip Mean (24)	Tip Th Mean (24)	Length (24)	dL (24)	DCTM (24)	DCBM (24)	T (25)	dT (25)	Base Mean (25)	Body Mean (25)	Proj Mean (25)	Tip Mean (25)	Tip Th Mean (25)	Length (25)	dL (25)	DCTM (25)	DCBM (25)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-20.000	212.250	384.430	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-20.000	191.088	373.470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-20.000	203.235	372.532	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-20.000	171.667	375.389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-20.000	171.727	361.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-20.000	166.059	367.818	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-20.000	174.059	363.160	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-20.000	174.975	354.428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-20.000	188.460	352.529	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-20.000	199.469	347.071	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-19.000	201.410	370.750	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-19.000	202.000	372.532	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-19.000	179.706	372.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-19.000	185.121	376.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-19.000	163.429	359.300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-19.000	162.882	367.220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-19.000	174.353	364.993	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-19.000	172.256	355.583	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-19.000	195.288	353.452	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-19.000	178.368	343.398	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-18.000	196.538	373.027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-18.000	191.886	372.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-18.000	183.294	371.488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-18.000	188.914	374.919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-18.000	153.905	360.438	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-18.000	158.143	362.578	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-18.000	177.000	361.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-18.000	168.325	354.934	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-18.000	187.404	350.834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-18.000	161.641	343.654	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-17.000	192.441	377.184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-17.000	196.513	371.488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-17.000	172.100	375.389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-17.000	164.353	374.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-17.000	170.059	360.067	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-17.000	156.312	363.160	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-17.000	187.882	362.515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-17.000	172.714	356.124	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-17.000	192.469	353.102	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-17.000	166.719	335.861	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-16.000	178.294	384.430	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-16.000	186.590	376.382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-16.000	187.892	375.389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-16.000	172.882	376.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-16.000	156.667	372.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-16.000	171.471	357.389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-16.000	158.758	364.993	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-16.000	172.706	358.383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-16.000	171.833	358.616	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-16.000	183.532	352.428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-16.000	172.297	337.182	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-15.000	181.174	370.750	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-15.000	186.784	375.228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-15.000	204.436	376.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-15.000	170.591	374.919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-15.000	169.973	376.919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-15.000	183.529	359.732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-15.000	159.917	361.057	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-15.000	188.176	359.307	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-15.000	171.450	356.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-15.000	173.973	353.295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-15.000	161.128	344.369	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-14.000	168.350	373.027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-14.000	182.026	373.470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-14.000	154.974	374.919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-14.000	157.128	374.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-14.000	175.686	374.233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-14.000	177.176	362.388	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-14.000	155.229	362.515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-14.000	201.564	357.562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-14.000	170.512	356.559	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-14.000	132.721	352.364	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-14.000	198.944	337.204	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-13.000	183.762	377.184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-13.000	189.718	372.532	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-13.000	154.692	374.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-13.000	171.031	372.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-13.000	167.405	373.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-13.000	172.294	363.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-13.000	158.543	358.383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-13.000	173.545	355.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-13.000	155.579	357.109	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-13.000	141.550	353.365	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-13.000	169.486	338.650	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-12.000	182.522	376.382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-12.000	180.051	372.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-12.000	161.381	372.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-12.000	165.943	376.919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-12.000	165.513	370.508	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-12.000	175.706	364.960	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-12.000	165.026	359.307	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-12.000	180.286	354.499	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-12.000	161.348	356.802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-12.000	153.909	353.996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	-12.000	197.513	339.393	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-11.000	184.842	375.228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-11.000	174.618	371.488	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-11.000	197.686	376.919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-11.000	171.576	374.233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-11.000	174.658	374.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-11.000	184.889	366.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-11.000	164.094	357.562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-11.000	181.353	354.162	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-11.000	160.814	356.101	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-11.000	149.857	348.466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	-11.000	184.667	338.499	NaN	NaN	NaN	NaN	NaN	NaN	NaN
