T	X	Y	Mean	StdDev
1.000	21.450	59.280	767.951	345.332
2.000	21.580	59.410	744.415	330.870
3.000	21.580	59.345	741.381	332.948
4.000	21.645	59.540	738.152	331.609
5.000	21.580	59.605	737.202	332.864
6.000	21.580	59.670	744.525	333.155
7.000	21.580	59.540	737.766	337.649
8.000	21.515	59.540	742.972	336.217
9.000	21.450	59.540	741.253	334.224
10.000	21.450	59.670	740.138	339.130
11.000	21.450	59.605	744.036	335.693
12.000	21.385	59.735	744.994	342.621
13.000	21.385	59.865	743.250	343.325
14.000	21.385	59.865	740.808	342.418
15.000	21.385	59.800	745.221	341.197
16.000	21.385	59.800	747.071	342.915
17.000	21.385	59.865	744.497	341.651
18.000	21.385	59.735	737.794	343.035
19.000	21.385	59.605	744.691	347.747
20.000	21.385	59.410	743.926	350.258
21.000	21.385	59.475	742.566	350.183
22.000	21.385	59.540	748.037	352.029
23.000	21.385	59.540	748.039	352.143
24.000	21.320	59.540	747.342	351.436
25.000	21.320	59.735	747.761	351.214
26.000	21.385	59.670	747.107	351.968
27.000	21.320	59.800	749.454	351.406
28.000	21.320	59.800	747.876	349.502
29.000	21.320	59.670	748.419	352.674
30.000	21.320	59.735	748.268	354.461
31.000	21.320	59.800	744.906	354.859
32.000	21.320	59.865	746.294	354.386
33.000	21.320	59.800	741.783	352.869
34.000	21.320	59.865	747.764	353.987
35.000	21.320	59.800	744.300	353.221
36.000	21.320	59.735	743.062	352.006
37.000	21.320	59.735	743.829	349.071
38.000	21.320	59.735	742.462	345.728
39.000	21.320	59.735	739.694	345.420
40.000	21.320	59.735	739.473	347.233
41.000	21.320	59.605	739.917	346.492
42.000	21.320	59.540	738.922	347.764
43.000	21.320	59.540	739.164	345.160
44.000	21.320	59.475	734.876	345.627
45.000	21.320	59.540	735.050	341.513
46.000	21.320	59.605	735.387	337.736
47.000	21.320	59.670	737.735	337.950
48.000	21.320	59.670	739.771	338.452
49.000	21.320	59.800	740.329	340.188
50.000	21.320	59.735	738.739	341.587
51.000	21.255	59.800	734.362	344.915
52.000	21.320	59.865	735.170	349.370
53.000	21.255	59.865	735.019	350.468
54.000	21.255	59.800	736.315	350.417
55.000	21.255	59.735	731.570	353.048
56.000	21.320	59.800	734.630	350.191
57.000	21.255	59.800	736.295	348.575
58.000	21.320	59.605	734.617	347.522
59.000	21.255	59.670	733.290	343.878
60.000	21.255	59.540	735.985	345.708
61.000	21.255	59.410	736.960	345.382
62.000	21.255	59.345	734.288	345.520
63.000	21.255	59.280	733.956	345.329
64.000	21.320	59.150	729.907	344.962
65.000	21.255	59.280	726.737	348.710
66.000	21.255	59.215	730.528	351.508
67.000	21.255	59.215	733.061	351.029
68.000	21.255	59.150	731.442	350.590
69.000	21.320	59.085	734.421	351.524
70.000	21.320	59.215	738.030	354.990
71.000	21.320	59.150	737.218	356.827
72.000	21.320	59.150	738.623	357.857
73.000	21.255	59.215	737.263	358.365
74.000	21.320	59.150	735.735	357.370
75.000	21.255	59.215	736.043	354.849
76.000	21.320	59.215	735.371	356.431
77.000	21.255	59.280	734.080	353.263
78.000	21.255	59.280	727.432	355.040
79.000	21.255	59.280	730.585	356.887
80.000	21.255	59.345	732.261	361.319
81.000	21.255	59.345	734.436	364.586
82.000	21.255	59.540	731.977	363.645
83.000	21.320	59.540	733.948	360.890
84.000	21.255	59.540	736.101	360.255
85.000	21.710	59.540	728.657	364.404
86.000	21.710	59.540	728.762	364.712
87.000	21.710	59.410	727.674	363.021
88.000	21.710	59.345	731.729	364.563
89.000	21.775	59.345	730.939	365.601
90.000	21.710	59.410	733.298	364.699
91.000	21.710	59.410	730.555	366.115
92.000	21.710	59.475	732.299	366.588
93.000	21.710	59.280	732.856	365.476
94.000	21.645	59.410	734.435	365.839
95.000	21.645	59.475	731.946	364.052
96.000	21.645	59.475	731.506	364.937
97.000	21.645	59.410	729.418	367.908
98.000	21.580	59.280	724.212	369.767
99.000	21.580	59.345	725.597	366.676
100.000	21.580	59.280	722.747	369.229
101.000	21.645	59.085	725.687	369.849
102.000	21.580	58.955	724.197	374.354
103.000	21.645	58.760	723.055	372.431
104.000	21.515	58.890	725.840	369.413
105.000	21.450	58.890	727.132	368.560
106.000	21.385	58.890	728.599	365.469
107.000	21.515	58.825	725.598	366.975
108.000	21.515	58.890	724.542	365.820
109.000	21.580	58.760	722.736	364.378
110.000	21.515	58.955	722.489	364.140
111.000	21.775	59.020	722.664	362.376
112.000	21.840	58.955	722.264	360.287
113.000	21.905	58.500	718.689	360.227
114.000	22.035	58.500	717.480	363.178
115.000	22.165	59.085	721.619	364.735
116.000	22.230	58.630	717.811	368.348
117.000	22.295	58.630	718.401	370.015
118.000	22.555	58.435	713.004	374.402
119.000	22.620	58.240	713.699	373.448
120.000	22.425	58.630	714.273	374.357
121.000	22.425	58.630	716.200	377.603
