 	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)	T (13)	Base X (13)	Base Y (13)	Tip X (13)	Tip Y (13)	||[body,base]|| (13)	||[base,tip]||  (13)	||[base,tip]|| : [body,base] (13)	[base,tip] ? [body,base] (13)	?||[base,tip]|| : [body,base] (13)	||[tip(t-1),tip(t)]|| : [base,tip] (13)	||[base(t-1),base(t)]|| : [base,tip] (13)	T (14)	Base X (14)	Base Y (14)	Tip X (14)	Tip Y (14)	||[body,base]|| (14)	||[base,tip]||  (14)	||[base,tip]|| : [body,base] (14)	[base,tip] ? [body,base] (14)	?||[base,tip]|| : [body,base] (14)	||[tip(t-1),tip(t)]|| : [base,tip] (14)	||[base(t-1),base(t)]|| : [base,tip] (14)	T (15)	Base X (15)	Base Y (15)	Tip X (15)	Tip Y (15)	||[body,base]|| (15)	||[base,tip]||  (15)	||[base,tip]|| : [body,base] (15)	[base,tip] ? [body,base] (15)	?||[base,tip]|| : [body,base] (15)	||[tip(t-1),tip(t)]|| : [base,tip] (15)	||[base(t-1),base(t)]|| : [base,tip] (15)	T (16)	Base X (16)	Base Y (16)	Tip X (16)	Tip Y (16)	||[body,base]|| (16)	||[base,tip]||  (16)	||[base,tip]|| : [body,base] (16)	[base,tip] ? [body,base] (16)	?||[base,tip]|| : [body,base] (16)	||[tip(t-1),tip(t)]|| : [base,tip] (16)	||[base(t-1),base(t)]|| : [base,tip] (16)	T (17)	Base X (17)	Base Y (17)	Tip X (17)	Tip Y (17)	||[body,base]|| (17)	||[base,tip]||  (17)	||[base,tip]|| : [body,base] (17)	[base,tip] ? [body,base] (17)	?||[base,tip]|| : [body,base] (17)	||[tip(t-1),tip(t)]|| : [base,tip] (17)	||[base(t-1),base(t)]|| : [base,tip] (17)	T (18)	Base X (18)	Base Y (18)	Tip X (18)	Tip Y (18)	||[body,base]|| (18)	||[base,tip]||  (18)	||[base,tip]|| : [body,base] (18)	[base,tip] ? [body,base] (18)	?||[base,tip]|| : [body,base] (18)	||[tip(t-1),tip(t)]|| : [base,tip] (18)	||[base(t-1),base(t)]|| : [base,tip] (18)	T (19)	Base X (19)	Base Y (19)	Tip X (19)	Tip Y (19)	||[body,base]|| (19)	||[base,tip]||  (19)	||[base,tip]|| : [body,base] (19)	[base,tip] ? [body,base] (19)	?||[base,tip]|| : [body,base] (19)	||[tip(t-1),tip(t)]|| : [base,tip] (19)	||[base(t-1),base(t)]|| : [base,tip] (19)
1	-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	633.000	499.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	550.000	688.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	604.000	625.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	550.000	700.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	572.000	656.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	583.000	468.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	535.000	676.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	640.000	584.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	639.000	535.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	508.000	658.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	651.000	584.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	658.000	593.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	569.000	492.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	626.000	506.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	549.000	691.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	603.000	625.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	549.000	701.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	573.000	656.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	581.000	470.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	535.000	679.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	640.000	584.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	646.000	536.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	508.000	659.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	658.000	587.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	659.000	593.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	570.000	491.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	625.000	503.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	533.000	684.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	601.000	625.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	549.000	701.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	573.000	656.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	581.000	470.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	535.000	677.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	640.000	584.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	632.000	539.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	509.000	656.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	651.000	584.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	661.000	593.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	569.000	492.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	625.000	503.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	533.000	685.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	602.000	625.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	548.000	701.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	573.000	655.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	581.000	469.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	535.000	681.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	639.000	585.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	639.000	541.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	520.000	669.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	651.000	585.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	660.000	593.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	570.000	494.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	624.000	503.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	549.000	686.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	602.000	626.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	548.000	701.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	573.000	656.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	581.000	469.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	535.000	680.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	639.000	585.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	639.000	540.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	517.000	679.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	655.000	587.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	656.000	593.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	568.000	489.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	631.000	511.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	548.000	687.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	601.000	625.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	547.000	701.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	572.000	656.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	581.000	469.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	535.000	681.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	639.000	585.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	639.000	534.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	516.000	677.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	655.000	588.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	649.000	584.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	571.000	492.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	625.000	503.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	533.000	686.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	602.000	624.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	547.000	701.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	573.000	656.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	581.000	468.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	533.000	679.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	641.000	583.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	639.000	536.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	508.000	658.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	657.000	593.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	661.000	593.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	569.000	494.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000	548.000	682.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	625.000	503.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	548.000	687.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	602.000	623.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	548.000	700.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	572.000	656.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	580.000	469.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	534.000	679.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	642.000	581.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	646.000	533.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	518.000	676.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	655.000	587.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	661.000	593.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	569.000	492.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	550.000	683.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	626.000	504.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	547.000	689.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	602.000	628.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	548.000	700.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	573.000	657.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	581.000	469.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	534.000	679.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	643.000	581.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	639.000	540.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	519.000	672.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	657.000	589.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	660.000	593.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	570.000	494.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	549.000	683.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	625.000	506.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	547.000	691.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	593.000	623.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	547.000	700.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	573.000	656.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	581.000	469.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	535.000	679.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	643.000	582.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	639.000	532.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	518.000	674.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	660.000	593.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	661.000	591.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	569.000	493.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
