dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)	T (18)	dT (18)	Base Mean (18)	Body Mean (18)	Proj Mean (18)	Tip Mean (18)	Tip Th Mean (18)	Length (18)	dL (18)	DCTM (18)	DCBM (18)	T (19)	dT (19)	Base Mean (19)	Body Mean (19)	Proj Mean (19)	Tip Mean (19)	Tip Th Mean (19)	Length (19)	dL (19)	DCTM (19)	DCBM (19)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-20.000	242.769	730.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-20.000	322.114	734.156	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-20.000	220.000	729.345	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-20.000	282.176	714.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-20.000	338.138	720.719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-20.000	451.455	718.174	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-20.000	213.789	714.186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-20.000	324.333	715.564	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-20.000	257.867	710.164	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-20.000	283.882	697.939	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-20.000	366.385	695.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-20.000	210.000	690.708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-20.000	426.216	696.754	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-19.000	379.480	737.237	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-19.000	291.771	729.345	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-19.000	220.690	715.378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-19.000	286.471	733.479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-19.000	310.724	734.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-19.000	424.229	714.296	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-19.000	197.773	716.509	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-19.000	316.045	713.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-19.000	230.800	709.061	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-19.000	295.882	698.383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-19.000	230.233	693.801	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	-19.000	219.111	676.499	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-19.000	437.722	696.959	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-18.000	370.042	731.531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-18.000	188.765	715.378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-18.000	231.833	714.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-18.000	296.000	732.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-18.000	309.963	736.680	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-18.000	445.667	714.132	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-18.000	213.393	715.371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-18.000	324.952	714.187	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-18.000	419.893	709.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-18.000	297.353	694.147	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-18.000	357.154	694.582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-18.000	200.222	680.961	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-18.000	418.806	695.765	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-17.000	373.500	734.156	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-17.000	210.800	714.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-17.000	228.621	733.479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-17.000	266.824	720.719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-17.000	301.188	737.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-17.000	427.771	714.206	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-17.000	202.500	713.303	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-17.000	322.348	722.117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-17.000	272.300	710.266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-17.000	246.667	692.656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-17.000	340.231	692.745	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-17.000	212.267	692.723	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-17.000	485.625	693.579	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-16.000	388.767	729.345	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-16.000	315.676	733.479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-16.000	234.047	732.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-16.000	267.545	734.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-16.000	319.167	740.898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-16.000	441.371	716.139	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-16.000	204.103	710.486	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-16.000	312.800	721.972	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-16.000	279.867	707.792	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-16.000	299.600	688.441	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-16.000	226.037	690.783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-16.000	243.357	696.754	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-16.000	355.810	694.036	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-15.000	270.810	715.378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-15.000	307.314	732.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-15.000	251.710	720.719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-15.000	267.294	736.680	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-15.000	322.500	739.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-15.000	450.000	714.668	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-15.000	195.769	717.976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-15.000	326.760	723.860	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-15.000	291.154	706.459	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-15.000	274.067	692.212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-15.000	227.773	691.368	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-15.000	330.462	696.959	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-15.000	505.436	692.673	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-14.000	362.923	714.539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-14.000	233.960	720.719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-14.000	237.714	734.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-14.000	254.364	737.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-14.000	320.350	742.518	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-14.000	445.694	714.186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-14.000	214.750	714.284	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-14.000	310.524	718.930	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-14.000	286.957	705.460	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-14.000	283.118	687.917	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-14.000	198.364	692.176	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-14.000	197.103	695.765	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	-14.000	474.697	691.337	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-13.000	286.741	765.877	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-13.000	367.207	733.479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-13.000	312.103	734.555	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-13.000	253.000	736.680	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-13.000	293.941	740.898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-13.000	335.531	721.866	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-13.000	422.647	716.509	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-13.000	204.800	715.665	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-13.000	308.905	724.046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-13.000	236.054	697.939	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-13.000	297.324	695.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-13.000	220.174	698.178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-13.000	197.655	693.579	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	-13.000	440.973	690.531	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-12.000	297.314	734.215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-12.000	383.923	732.081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-12.000	308.486	736.680	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-12.000	237.857	737.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-12.000	294.706	739.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-12.000	302.556	715.356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-12.000	463.083	715.371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-12.000	213.438	715.521	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-12.000	306.421	722.183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-12.000	294.033	698.383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-12.000	264.250	693.801	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-12.000	196.286	692.641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-12.000	223.381	694.036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	-12.000	508.405	695.703	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-11.000	288.912	739.797	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-11.000	411.333	720.719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-11.000	301.371	737.209	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-11.000	363.167	740.898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-11.000	264.529	742.518	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-11.000	310.719	720.998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-11.000	458.026	713.303	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-11.000	205.231	710.274	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-11.000	305.056	721.779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-11.000	276.000	694.147	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-11.000	252.559	694.582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-11.000	186.353	691.080	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-11.000	215.756	692.673	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	-11.000	453.586	688.612	NaN	NaN	NaN	NaN	NaN	NaN	NaN
