T	X	Y	Mean	StdDev
1.000	39.585	7.215	832.743	426.351
2.000	39.650	7.280	806.621	416.795
3.000	39.715	7.280	819.894	414.299
4.000	39.975	7.410	812.413	409.863
5.000	39.975	7.540	812.375	412.029
6.000	40.040	7.735	812.966	413.835
7.000	40.105	7.800	798.834	417.016
8.000	40.170	7.930	801.363	417.502
9.000	40.170	7.995	789.831	417.163
10.000	40.170	7.540	781.360	391.391
11.000	40.170	7.605	778.425	384.872
12.000	40.170	7.605	771.016	379.899
13.000	40.105	7.605	770.148	375.737
14.000	40.170	7.605	767.121	376.434
15.000	40.105	7.670	764.302	376.232
16.000	40.105	7.670	770.004	370.737
17.000	40.040	7.670	768.102	368.452
18.000	40.040	7.540	764.283	368.833
19.000	40.105	7.605	763.424	363.329
20.000	40.105	7.605	745.583	369.093
21.000	40.105	7.540	748.822	368.523
22.000	39.975	7.540	765.831	365.164
23.000	39.780	7.475	768.275	357.884
24.000	39.715	7.475	765.485	345.533
25.000	39.715	7.410	765.747	341.346
26.000	39.715	7.345	765.276	348.763
27.000	39.715	7.345	770.328	346.159
28.000	39.585	7.410	770.620	348.391
29.000	39.520	7.345	774.234	354.884
30.000	39.455	7.345	776.252	355.791
31.000	39.520	7.345	770.028	348.477
32.000	39.520	7.410	769.890	355.256
33.000	39.585	7.345	771.606	356.293
34.000	39.520	7.345	766.584	347.975
35.000	39.390	7.410	766.760	342.985
36.000	39.390	7.410	774.726	347.849
37.000	39.325	7.410	779.480	357.165
38.000	39.390	7.345	780.235	353.802
39.000	39.455	7.345	779.488	355.384
40.000	39.520	7.410	776.296	353.131
41.000	39.455	7.410	779.307	354.905
42.000	39.325	7.475	779.276	355.922
43.000	39.390	7.475	777.124	343.671
44.000	39.520	7.540	775.601	349.098
45.000	39.520	7.540	783.052	351.846
46.000	39.585	7.540	784.154	353.339
47.000	39.650	7.540	790.623	351.822
48.000	39.650	7.540	789.015	354.439
49.000	39.650	7.540	786.000	350.935
50.000	39.975	7.540	792.163	349.021
51.000	39.975	7.540	792.239	352.025
52.000	39.975	7.605	790.540	351.023
53.000	40.040	7.540	792.788	353.929
54.000	40.040	7.540	787.165	356.822
55.000	40.105	7.475	791.743	358.239
56.000	40.170	7.475	793.147	359.520
57.000	40.105	7.410	792.757	364.860
58.000	40.170	7.475	789.683	365.938
59.000	40.105	7.345	791.734	372.158
60.000	40.040	7.345	794.980	367.304
61.000	40.105	7.345	793.521	365.564
62.000	40.040	7.215	800.495	368.626
63.000	40.040	7.085	801.982	370.714
64.000	40.040	6.955	800.615	371.425
65.000	40.040	7.280	800.695	370.731
66.000	39.975	6.825	806.186	371.649
67.000	39.910	6.760	801.329	373.958
68.000	39.975	6.695	808.815	378.553
69.000	39.975	6.630	809.391	380.709
70.000	39.975	6.630	810.107	385.686
71.000	39.845	6.695	810.206	384.469
72.000	39.975	6.760	804.183	372.997
73.000	39.975	6.695	803.677	367.204
74.000	39.910	6.695	804.234	365.877
75.000	35.295	9.035	501.315	411.318
76.000	35.230	9.165	501.678	410.046
77.000	35.360	9.100	499.214	407.181
78.000	35.360	9.165	500.289	406.239
79.000	35.295	9.165	500.604	407.014
80.000	35.295	9.100	500.939	407.309
81.000	35.295	9.165	501.888	406.675
82.000	35.230	9.230	500.599	406.219
83.000	35.360	9.165	506.308	406.357
84.000	35.165	9.360	504.996	403.110
85.000	35.230	9.295	503.426	401.090
86.000	35.230	9.360	501.683	400.498
87.000	35.295	9.230	500.818	401.769
88.000	35.295	9.230	500.431	400.909
89.000	35.295	9.295	499.168	397.930
90.000	35.295	9.230	501.668	399.470
91.000	35.360	9.165	503.883	397.979
92.000	35.360	9.230	502.061	395.226
93.000	35.295	9.230	502.712	396.290
94.000	35.360	9.165	504.532	397.888
95.000	35.295	9.230	505.943	399.402
96.000	35.360	9.100	505.242	395.981
97.000	35.295	9.230	507.916	398.144
98.000	35.230	9.295	508.735	400.794
99.000	35.230	9.295	507.896	397.883
100.000	35.230	9.360	508.043	396.710
101.000	35.295	9.295	505.703	395.008
102.000	35.295	9.360	504.032	396.194
103.000	35.360	9.230	507.396	400.213
104.000	35.425	9.230	506.848	400.616
105.000	35.425	9.165	506.954	401.781
106.000	35.490	9.100	510.568	405.005
107.000	35.490	9.100	507.410	399.894
108.000	35.490	9.035	509.847	402.411
109.000	35.685	8.905	508.713	402.876
110.000	35.685	8.840	510.535	403.044
111.000	35.750	8.840	509.502	401.902
112.000	35.750	8.840	511.954	402.205
113.000	35.685	8.905	514.892	406.030
114.000	35.555	9.035	511.721	403.231
115.000	35.555	9.035	513.242	403.681
116.000	35.620	9.035	512.120	400.927
117.000	35.620	8.970	511.543	399.645
118.000	35.620	8.970	511.641	400.693
119.000	35.620	8.970	512.747	400.213
120.000	35.685	8.905	514.987	402.841
121.000	35.685	8.905	514.449	399.822
