T	X	Y	Mean	StdDev
1.000	25.870	24.635	359.995	97.441
2.000	25.805	24.505	355.998	101.690
3.000	25.805	24.375	356.643	100.049
4.000	25.935	24.310	360.746	99.329
5.000	25.870	24.375	359.611	98.896
6.000	26.065	24.375	355.739	99.001
7.000	26.130	24.570	360.041	99.281
8.000	26.195	24.505	358.524	97.836
9.000	26.325	24.505	359.497	98.089
10.000	26.195	24.310	357.408	98.901
11.000	26.520	24.310	357.732	99.139
12.000	26.260	24.245	350.195	100.184
13.000	26.390	24.245	353.195	98.414
14.000	26.195	24.180	350.491	99.011
15.000	26.260	24.245	346.641	96.809
16.000	26.130	24.050	343.818	96.984
17.000	26.065	23.985	348.790	95.844
18.000	26.000	23.920	340.945	96.935
19.000	26.000	23.790	338.458	98.232
20.000	25.870	24.050	339.338	95.274
21.000	25.870	23.985	339.403	95.525
22.000	25.935	24.115	342.166	93.421
23.000	26.000	24.115	341.100	94.855
24.000	26.130	24.115	342.643	93.287
25.000	26.325	23.920	343.850	93.510
26.000	26.585	23.985	341.516	96.122
27.000	26.845	24.375	342.625	93.545
28.000	26.910	24.505	346.193	91.360
29.000	26.975	24.115	341.310	92.275
30.000	27.105	24.375	342.339	89.067
31.000	27.235	24.310	345.058	88.017
32.000	27.040	24.310	340.093	91.392
33.000	27.300	24.245	340.232	90.060
34.000	27.365	24.310	332.806	92.441
35.000	26.910	23.270	326.522	92.114
36.000	27.105	23.205	331.101	91.042
37.000	26.910	23.205	339.917	90.971
38.000	26.845	23.205	342.726	88.947
39.000	26.845	23.335	339.841	90.363
40.000	26.520	24.050	347.728	88.638
41.000	26.455	24.050	350.438	89.386
42.000	26.390	23.985	350.097	90.136
43.000	26.260	23.985	349.940	89.246
44.000	26.065	23.920	346.178	89.083
45.000	26.065	23.920	344.583	91.390
46.000	26.065	23.985	344.725	89.969
47.000	26.195	24.115	342.313	90.746
48.000	26.325	24.180	345.146	89.743
49.000	26.195	24.115	343.304	88.353
50.000	26.260	24.050	342.069	90.193
51.000	26.260	23.985	342.852	93.079
52.000	26.390	24.050	342.189	92.089
53.000	26.520	24.115	341.528	89.358
54.000	26.650	24.245	337.881	93.915
55.000	26.715	24.245	333.184	94.705
56.000	26.650	24.310	332.415	95.095
57.000	26.845	24.310	335.957	92.686
58.000	26.910	24.180	328.328	98.114
59.000	26.845	24.245	338.203	96.808
60.000	26.910	24.245	343.046	98.684
61.000	27.040	24.245	345.090	96.586
62.000	27.170	24.375	344.937	95.573
