dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-20.000	208.977	358.524	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-20.000	165.906	350.491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-20.000	178.625	350.491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-20.000	204.522	339.338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-20.000	197.111	345.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-19.000	208.345	359.497	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-19.000	172.320	346.641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-19.000	178.294	346.641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-19.000	170.317	339.403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-19.000	202.579	340.093	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-18.000	246.104	357.408	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-18.000	192.514	343.818	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-18.000	188.647	343.818	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-18.000	177.212	342.166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-18.000	232.280	340.232	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-17.000	245.786	357.732	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-17.000	195.219	348.790	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-17.000	189.354	348.790	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-17.000	220.839	341.100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-17.000	208.045	332.806	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-16.000	224.814	350.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-16.000	186.038	340.945	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-16.000	192.388	340.945	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-16.000	220.576	342.643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-16.000	202.050	326.522	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-15.000	223.950	353.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-15.000	191.250	338.458	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-15.000	162.458	338.458	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-15.000	224.029	343.850	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-15.000	193.786	331.101	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-14.000	230.318	350.491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-14.000	190.189	339.338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-14.000	165.827	339.338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-14.000	222.667	341.516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-14.000	282.407	339.917	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-13.000	225.756	346.641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-13.000	193.895	339.403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-13.000	180.367	339.403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-13.000	185.219	342.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-13.000	231.458	342.726	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-12.000	235.894	343.818	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-12.000	212.727	342.166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-12.000	207.327	342.166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-12.000	187.600	346.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-12.000	174.440	339.841	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-11.000	228.583	348.790	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-11.000	174.207	341.100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-11.000	201.731	341.100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-11.000	219.692	341.310	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-11.000	203.125	347.728	NaN	NaN	NaN	NaN	NaN	NaN	NaN
