dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)	T (18)	dT (18)	Base Mean (18)	Body Mean (18)	Proj Mean (18)	Tip Mean (18)	Tip Th Mean (18)	Length (18)	dL (18)	DCTM (18)	DCBM (18)	T (19)	dT (19)	Base Mean (19)	Body Mean (19)	Proj Mean (19)	Tip Mean (19)	Tip Th Mean (19)	Length (19)	dL (19)	DCTM (19)	DCBM (19)	T (20)	dT (20)	Base Mean (20)	Body Mean (20)	Proj Mean (20)	Tip Mean (20)	Tip Th Mean (20)	Length (20)	dL (20)	DCTM (20)	DCBM (20)	T (21)	dT (21)	Base Mean (21)	Body Mean (21)	Proj Mean (21)	Tip Mean (21)	Tip Th Mean (21)	Length (21)	dL (21)	DCTM (21)	DCBM (21)	T (22)	dT (22)	Base Mean (22)	Body Mean (22)	Proj Mean (22)	Tip Mean (22)	Tip Th Mean (22)	Length (22)	dL (22)	DCTM (22)	DCBM (22)	T (23)	dT (23)	Base Mean (23)	Body Mean (23)	Proj Mean (23)	Tip Mean (23)	Tip Th Mean (23)	Length (23)	dL (23)	DCTM (23)	DCBM (23)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-20.000	227.171	280.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-20.000	165.943	275.278	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-20.000	166.929	280.830	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-20.000	151.103	290.779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-20.000	181.759	280.844	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-20.000	162.900	270.588	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-20.000	191.051	270.588	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-20.000	247.122	272.522	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-20.000	191.433	270.717	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-20.000	194.529	276.455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-20.000	203.706	277.482	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-20.000	194.262	276.676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-20.000	187.739	287.772	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-20.000	197.947	280.781	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-20.000	218.941	280.714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-20.000	217.633	279.006	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-19.000	212.050	275.278	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-19.000	164.927	278.887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-19.000	173.474	278.185	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-19.000	153.410	288.293	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-19.000	188.286	277.524	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-19.000	163.700	270.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-19.000	192.273	270.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-19.000	230.949	275.612	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-19.000	193.636	277.312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-19.000	187.118	274.099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-19.000	190.294	278.222	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-19.000	178.658	277.978	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-19.000	211.900	286.709	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-19.000	221.610	279.066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-19.000	213.529	279.695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-19.000	221.333	278.558	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-18.000	231.000	278.887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-18.000	170.971	280.830	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-18.000	171.095	280.237	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-18.000	148.718	279.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-18.000	182.103	281.454	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-18.000	160.600	272.522	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-18.000	187.757	272.522	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-18.000	240.692	274.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-18.000	180.697	276.681	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-18.000	182.588	276.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-18.000	183.294	277.659	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-18.000	184.538	278.472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-18.000	169.526	282.382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-18.000	206.385	280.714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-18.000	220.765	277.803	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-18.000	210.130	283.791	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-17.000	228.235	280.830	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-17.000	177.650	278.185	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-17.000	190.000	282.328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-17.000	148.256	280.374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-17.000	197.433	285.347	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-17.000	170.923	275.612	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-17.000	196.304	275.612	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-17.000	251.000	270.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-17.000	206.933	278.489	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-17.000	183.118	275.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-17.000	191.353	277.715	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-17.000	234.603	280.422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-17.000	182.040	279.949	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-17.000	221.524	279.695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-17.000	205.706	276.924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-17.000	200.000	284.935	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-16.000	232.189	278.185	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-16.000	167.206	280.237	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-16.000	195.424	287.259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-16.000	157.343	280.844	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-16.000	185.607	284.233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-16.000	195.241	274.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-16.000	167.600	274.165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-16.000	239.906	273.235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-16.000	192.784	276.455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-16.000	183.529	275.606	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-16.000	202.882	280.356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-16.000	176.600	279.747	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-16.000	197.714	276.579	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-16.000	216.469	277.803	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-16.000	216.118	277.748	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-16.000	200.263	283.325	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-15.000	230.711	280.237	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-15.000	158.949	282.328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-15.000	192.861	277.570	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-15.000	167.171	277.524	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-15.000	188.038	285.575	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-15.000	175.167	270.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-15.000	185.435	270.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-15.000	247.541	271.583	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-15.000	213.444	274.099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-15.000	173.882	273.283	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-15.000	205.235	281.853	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-15.000	208.047	279.043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-15.000	172.105	281.786	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-15.000	208.595	276.924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-15.000	178.360	280.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-15.000	210.263	283.799	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-14.000	224.097	282.328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-14.000	162.243	287.259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-14.000	214.865	286.701	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-14.000	198.714	281.454	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-14.000	201.034	285.550	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-14.000	186.654	273.235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-14.000	212.400	273.235	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-14.000	238.947	274.139	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-14.000	192.737	276.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-14.000	197.176	274.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-14.000	200.765	284.126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-14.000	195.968	276.949	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-14.000	185.364	280.239	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-14.000	217.636	277.748	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-14.000	212.647	279.930	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-14.000	187.211	285.420	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-13.000	222.300	287.259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-13.000	153.314	277.570	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-13.000	221.051	290.779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-13.000	237.500	285.347	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-13.000	172.000	281.040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-13.000	181.367	271.583	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-13.000	171.590	271.583	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-13.000	236.892	270.717	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-13.000	203.525	275.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-13.000	154.941	273.199	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-13.000	151.647	279.871	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-13.000	211.173	278.082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-13.000	204.821	285.359	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-13.000	199.531	280.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-13.000	170.941	281.478	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-13.000	175.545	281.616	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-12.000	221.500	277.570	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-12.000	153.703	286.701	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-12.000	209.200	288.293	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-12.000	233.279	284.233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-12.000	185.697	283.757	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-12.000	178.389	274.139	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-12.000	211.229	274.139	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-12.000	219.061	277.312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-12.000	210.682	275.606	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-12.000	147.059	271.227	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-12.000	164.167	276.676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-12.000	206.130	278.739	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-12.000	183.800	282.651	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-12.000	193.479	279.930	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	-12.000	226.353	282.336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	-12.000	183.360	282.237	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-11.000	233.189	286.701	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-11.000	155.000	290.779	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-11.000	231.906	279.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-11.000	246.886	285.575	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-11.000	167.136	282.768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-11.000	196.500	270.717	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-11.000	222.349	270.717	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-11.000	245.077	276.681	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-11.000	207.286	273.283	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-11.000	169.765	273.142	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-11.000	165.263	277.978	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-11.000	218.381	280.040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-11.000	185.357	280.781	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-11.000	196.488	281.478	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-11.000	222.471	279.006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	-11.000	175.409	281.756	NaN	NaN	NaN	NaN	NaN	NaN	NaN
