T	X	Y	Mean	StdDev
1.000	22.880	7.540	500.251	280.286
2.000	22.815	7.540	490.471	273.494
3.000	22.815	7.475	491.965	273.465
4.000	22.685	7.540	486.805	270.855
5.000	22.490	7.345	488.550	265.390
6.000	22.555	7.345	479.745	266.293
7.000	22.815	7.215	481.951	265.552
8.000	22.880	7.150	483.912	263.678
9.000	22.945	7.020	487.599	261.790
10.000	23.010	7.020	488.886	256.077
11.000	23.010	7.150	491.155	260.654
12.000	23.010	7.280	492.595	259.502
13.000	23.010	7.345	496.787	257.807
14.000	23.010	7.215	502.863	257.581
15.000	23.075	6.955	506.274	253.579
16.000	23.010	6.955	510.049	256.468
17.000	23.075	6.955	512.861	257.986
18.000	23.075	7.085	513.745	259.125
19.000	23.140	7.150	516.306	260.993
20.000	23.205	7.215	516.608	262.839
21.000	23.205	7.215	518.335	262.579
22.000	23.140	7.280	514.121	263.692
23.000	23.270	7.345	512.372	264.108
24.000	23.270	7.215	509.656	265.815
25.000	23.400	7.280	503.229	264.181
26.000	23.335	7.150	504.889	261.648
27.000	23.400	7.085	506.147	262.437
28.000	23.400	6.955	504.587	263.851
29.000	23.335	6.955	501.398	266.249
30.000	23.270	6.955	501.247	265.000
31.000	23.270	7.020	500.288	264.984
32.000	23.205	7.085	498.645	262.428
33.000	23.205	7.020	505.193	262.667
34.000	23.140	6.955	503.906	262.615
35.000	22.945	7.020	503.422	262.113
36.000	22.880	6.955	504.206	260.288
37.000	22.815	6.955	504.925	259.822
38.000	22.685	7.020	505.584	258.356
39.000	22.555	6.955	506.663	260.529
40.000	22.555	6.955	504.583	260.193
41.000	22.555	7.085	501.673	260.672
42.000	22.425	7.215	502.209	259.670
43.000	22.230	7.345	502.940	258.402
44.000	22.360	7.280	506.926	257.864
45.000	22.360	7.280	508.416	260.872
46.000	22.295	7.280	506.353	258.106
47.000	22.295	7.280	501.740	258.098
48.000	22.295	7.280	507.044	257.679
49.000	22.360	7.345	501.725	256.510
50.000	22.360	7.345	500.020	258.230
51.000	22.360	7.345	496.302	259.761
52.000	22.360	7.345	497.333	256.465
53.000	22.295	7.280	495.802	260.068
54.000	22.360	7.215	494.008	258.986
55.000	22.425	7.085	496.996	259.257
56.000	22.490	7.215	492.448	263.062
57.000	22.490	7.215	492.893	265.219
58.000	22.490	7.800	450.040	271.147
59.000	22.555	7.215	486.335	260.768
60.000	22.555	7.345	482.137	263.192
61.000	22.685	7.345	483.835	259.611
62.000	22.750	7.280	484.034	262.300
63.000	22.620	7.150	485.983	262.047
64.000	22.490	7.280	479.472	260.856
65.000	22.620	7.215	481.054	257.354
66.000	22.620	7.475	481.975	259.914
67.000	22.685	7.475	485.251	259.863
68.000	22.555	7.540	482.671	258.968
69.000	22.620	7.670	478.279	259.089
70.000	22.490	7.735	474.572	258.355
71.000	22.490	7.800	472.531	258.352
72.000	22.555	7.670	473.594	256.993
73.000	22.620	7.670	470.052	253.289
74.000	22.685	7.540	474.478	253.753
75.000	22.360	7.475	472.881	252.370
76.000	22.815	7.410	472.188	253.386
77.000	22.425	7.345	471.576	251.614
78.000	22.490	7.280	470.189	249.596
79.000	22.620	7.215	474.306	247.295
80.000	22.750	7.215	468.616	244.833
81.000	22.815	7.085	467.130	242.446
82.000	22.750	7.020	467.830	243.611
83.000	22.815	6.890	468.603	239.925
84.000	22.815	6.890	471.879	241.979
85.000	22.945	6.890	474.643	241.978
86.000	22.750	7.215	473.983	239.144
87.000	22.815	7.020	469.476	241.443
88.000	22.945	6.955	467.806	239.137
89.000	23.010	6.825	467.207	240.313
90.000	23.075	6.825	467.220	239.557
91.000	23.140	6.825	469.029	239.870
92.000	23.140	6.825	469.570	239.730
93.000	23.205	6.890	477.842	242.267
94.000	22.750	6.890	478.870	242.882
95.000	22.750	6.890	473.131	241.511
96.000	23.270	6.890	476.767	238.782
97.000	23.270	6.955	466.664	237.762
98.000	22.945	6.890	458.515	234.481
99.000	23.010	6.890	461.439	228.252
100.000	22.815	6.825	461.442	227.796
101.000	22.815	6.825	458.352	226.713
102.000	22.945	6.825	443.712	232.090
103.000	23.140	6.760	466.251	227.315
104.000	23.075	6.760	446.657	232.109
105.000	23.075	6.825	446.043	231.937
106.000	23.010	6.825	446.950	231.657
107.000	23.010	6.825	447.462	231.779
108.000	23.075	6.825	446.320	231.878
109.000	23.075	6.760	435.460	232.382
110.000	23.075	6.825	435.702	231.987
111.000	23.530	6.890	461.977	221.198
112.000	22.945	6.955	434.971	230.067
113.000	22.945	6.890	436.056	232.897
114.000	22.945	6.890	440.761	234.252
115.000	21.190	6.890	399.644	243.408
116.000	21.190	6.890	398.508	243.188
117.000	21.190	6.825	404.095	242.693
118.000	21.320	6.825	432.128	241.817
119.000	21.450	6.760	413.645	245.486
120.000	21.710	6.760	420.005	246.497
121.000	21.905	6.695	422.743	247.667
