dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)	T (18)	dT (18)	Base Mean (18)	Body Mean (18)	Proj Mean (18)	Tip Mean (18)	Tip Th Mean (18)	Length (18)	dL (18)	DCTM (18)	DCBM (18)	T (19)	dT (19)	Base Mean (19)	Body Mean (19)	Proj Mean (19)	Tip Mean (19)	Tip Th Mean (19)	Length (19)	dL (19)	DCTM (19)	DCBM (19)	T (20)	dT (20)	Base Mean (20)	Body Mean (20)	Proj Mean (20)	Tip Mean (20)	Tip Th Mean (20)	Length (20)	dL (20)	DCTM (20)	DCBM (20)	T (21)	dT (21)	Base Mean (21)	Body Mean (21)	Proj Mean (21)	Tip Mean (21)	Tip Th Mean (21)	Length (21)	dL (21)	DCTM (21)	DCBM (21)	T (22)	dT (22)	Base Mean (22)	Body Mean (22)	Proj Mean (22)	Tip Mean (22)	Tip Th Mean (22)	Length (22)	dL (22)	DCTM (22)	DCBM (22)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-20.000	245.769	488.550	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-20.000	162.143	518.335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-20.000	175.308	502.940	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-20.000	146.656	497.333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-20.000	189.500	494.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-20.000	179.921	479.472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-20.000	192.292	474.572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-20.000	224.079	470.052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-20.000	167.059	467.830	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-20.000	240.171	476.767	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-20.000	159.842	476.767	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-20.000	155.364	466.664	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-19.000	243.923	479.745	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-19.000	154.480	514.121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-19.000	156.789	506.926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-19.000	154.882	495.802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-19.000	186.909	496.996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-19.000	170.795	481.054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-19.000	191.500	472.531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-19.000	224.658	474.478	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-19.000	168.235	468.603	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-19.000	247.974	466.664	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-19.000	157.956	466.664	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-19.000	127.917	458.515	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-18.000	247.795	481.951	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-18.000	162.579	512.372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-18.000	162.769	508.416	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-18.000	151.059	494.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-18.000	182.955	492.448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-18.000	170.615	481.975	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-18.000	180.333	473.594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-18.000	229.205	472.881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-18.000	164.765	471.879	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-18.000	247.194	458.515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-18.000	160.475	458.515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-18.000	162.227	461.439	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-17.000	239.543	483.912	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-17.000	158.053	509.656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-17.000	161.609	506.353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-17.000	161.941	496.996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-17.000	193.773	492.893	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-17.000	167.282	485.251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-17.000	186.522	470.052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-17.000	219.692	472.188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-17.000	149.136	474.643	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-17.000	231.222	461.439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-17.000	150.532	461.439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-17.000	167.520	461.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-16.000	232.974	487.599	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-16.000	169.562	503.229	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-16.000	163.880	501.740	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-16.000	153.529	492.448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-16.000	170.889	450.040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-16.000	172.077	482.671	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-16.000	171.105	474.478	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-16.000	230.658	471.576	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-16.000	157.000	473.983	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-16.000	222.556	461.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.000	-16.000	157.952	461.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-16.000	136.481	458.352	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-15.000	236.718	488.886	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-15.000	162.000	504.889	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-15.000	151.045	507.044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-15.000	159.118	492.893	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-15.000	170.926	486.335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-15.000	159.447	478.279	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-15.000	172.450	472.881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-15.000	227.385	470.189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-15.000	152.059	469.476	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-15.000	212.194	458.352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.000	-15.000	158.205	458.352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-15.000	126.966	443.712	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-14.000	238.432	491.155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-14.000	182.769	506.147	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-14.000	169.538	501.725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-14.000	130.050	450.040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-14.000	171.312	482.137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-14.000	158.789	474.572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-14.000	172.150	472.188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-14.000	245.462	474.306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-14.000	153.000	467.806	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-14.000	226.889	443.712	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.000	-14.000	136.651	443.712	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	-14.000	139.222	466.251	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-13.000	222.472	492.595	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-13.000	172.846	504.587	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-13.000	164.571	500.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-13.000	164.083	486.335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-13.000	220.955	483.835	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-13.000	160.921	472.531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-13.000	180.542	471.576	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-13.000	232.077	468.616	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-13.000	155.636	467.207	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	-13.000	225.389	466.251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.000	-13.000	159.938	466.251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	-13.000	127.333	446.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-12.000	163.346	500.251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-12.000	234.500	496.787	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-12.000	165.423	501.398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-12.000	165.423	496.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-12.000	153.222	482.137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-12.000	165.562	484.034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-12.000	158.256	473.594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-12.000	186.625	470.189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-12.000	224.553	467.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-12.000	157.091	467.220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	-12.000	239.718	446.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.000	-12.000	156.333	446.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	-12.000	131.238	446.043	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-11.000	151.762	490.471	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-11.000	233.111	502.863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-11.000	181.778	501.247	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-11.000	153.368	497.333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-11.000	154.923	483.835	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-11.000	204.682	485.983	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-11.000	160.436	470.052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-11.000	186.550	474.306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-11.000	236.368	467.830	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-11.000	165.636	469.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	-11.000	241.692	446.043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.000	-11.000	162.526	446.043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	-11.000	128.182	446.950	NaN	NaN	NaN	NaN	NaN	NaN	NaN
