 	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)	T (13)	Base X (13)	Base Y (13)	Tip X (13)	Tip Y (13)	||[body,base]|| (13)	||[base,tip]||  (13)	||[base,tip]|| : [body,base] (13)	[base,tip] ? [body,base] (13)	?||[base,tip]|| : [body,base] (13)	||[tip(t-1),tip(t)]|| : [base,tip] (13)	||[base(t-1),base(t)]|| : [base,tip] (13)	T (14)	Base X (14)	Base Y (14)	Tip X (14)	Tip Y (14)	||[body,base]|| (14)	||[base,tip]||  (14)	||[base,tip]|| : [body,base] (14)	[base,tip] ? [body,base] (14)	?||[base,tip]|| : [body,base] (14)	||[tip(t-1),tip(t)]|| : [base,tip] (14)	||[base(t-1),base(t)]|| : [base,tip] (14)	T (15)	Base X (15)	Base Y (15)	Tip X (15)	Tip Y (15)	||[body,base]|| (15)	||[base,tip]||  (15)	||[base,tip]|| : [body,base] (15)	[base,tip] ? [body,base] (15)	?||[base,tip]|| : [body,base] (15)	||[tip(t-1),tip(t)]|| : [base,tip] (15)	||[base(t-1),base(t)]|| : [base,tip] (15)	T (16)	Base X (16)	Base Y (16)	Tip X (16)	Tip Y (16)	||[body,base]|| (16)	||[base,tip]||  (16)	||[base,tip]|| : [body,base] (16)	[base,tip] ? [body,base] (16)	?||[base,tip]|| : [body,base] (16)	||[tip(t-1),tip(t)]|| : [base,tip] (16)	||[base(t-1),base(t)]|| : [base,tip] (16)
1	-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	351.000	132.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	249.000	116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	388.000	171.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	348.000	133.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	277.000	288.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	377.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	380.000	206.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	349.000	129.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	351.000	131.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	248.000	116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	382.000	171.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	348.000	133.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	277.000	288.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	377.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	380.000	208.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	349.000	129.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	351.000	132.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	250.000	116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	387.000	171.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	348.000	133.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	277.000	288.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	375.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	381.000	206.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	349.000	131.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	351.000	131.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	249.000	116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	381.000	171.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	348.000	133.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	277.000	289.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	375.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	380.000	204.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	349.000	130.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	351.000	131.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	249.000	116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	390.000	171.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	348.000	134.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	277.000	289.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	375.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	380.000	202.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	349.000	130.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	351.000	132.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	247.000	116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	385.000	171.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	348.000	135.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	277.000	289.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	375.000	179.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	380.000	203.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	349.000	131.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	351.000	131.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	250.000	116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	381.000	171.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	348.000	136.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	277.000	287.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	375.000	179.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	380.000	205.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	349.000	132.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	347.000	129.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	251.000	116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	379.000	171.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	348.000	137.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	277.000	288.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	375.000	179.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	367.000	202.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	349.000	134.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	351.000	127.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	253.000	116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	379.000	171.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	348.000	137.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	277.000	286.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	375.000	179.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	365.000	200.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	349.000	134.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	354.000	136.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	252.000	116.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	386.000	171.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	348.000	134.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	277.000	286.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	373.000	178.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	364.000	198.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	349.000	133.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
