dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-20.000	135.344	313.524	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-20.000	155.583	323.251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-20.000	125.571	322.638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-20.000	162.538	324.104	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-20.000	154.071	324.104	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-20.000	142.514	326.369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-20.000	132.194	319.046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-20.000	175.579	331.882	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-19.000	137.868	313.665	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-19.000	152.657	313.264	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-19.000	128.320	320.360	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-19.000	163.605	327.440	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-19.000	151.100	327.440	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-19.000	140.188	325.603	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-19.000	131.442	322.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-19.000	178.250	329.267	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-18.000	146.205	317.084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-18.000	169.711	313.293	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-18.000	122.480	323.197	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-18.000	156.947	324.828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-18.000	155.633	324.828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-18.000	151.567	328.810	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-18.000	131.243	325.093	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-18.000	186.190	334.467	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-17.000	143.590	318.774	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-17.000	165.395	315.127	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-17.000	137.286	322.661	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-17.000	162.684	325.813	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-17.000	149.500	325.813	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-17.000	142.067	327.646	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-17.000	134.697	327.039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-17.000	178.139	333.801	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-16.000	141.632	317.689	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-16.000	171.000	322.562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-16.000	127.321	320.863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-16.000	156.763	323.593	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-16.000	154.393	323.593	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-16.000	149.333	329.047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-16.000	133.611	328.900	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-16.000	176.500	332.583	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-15.000	150.944	323.251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-15.000	156.526	322.776	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-15.000	137.120	320.764	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-15.000	154.432	322.988	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-15.000	158.000	322.988	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-15.000	154.030	332.371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-15.000	132.040	327.123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-15.000	168.429	334.578	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-14.000	158.949	313.264	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-14.000	170.333	321.561	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-14.000	138.360	321.188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-14.000	155.343	322.344	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-14.000	166.640	322.344	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-14.000	151.452	331.608	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-14.000	132.588	329.672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-14.000	165.417	344.183	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-13.000	165.362	313.293	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-13.000	164.722	323.760	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-13.000	141.429	322.178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-13.000	147.281	317.579	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-13.000	160.920	317.579	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-13.000	159.400	331.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-13.000	165.231	331.882	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-13.000	158.344	338.668	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-12.000	152.974	315.127	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-12.000	173.469	320.153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-12.000	130.964	329.301	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-12.000	148.963	317.935	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-12.000	160.714	317.935	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-12.000	164.250	326.440	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-12.000	168.231	329.267	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-12.000	154.417	340.975	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-11.000	137.088	322.562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-11.000	163.194	321.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-11.000	124.733	324.104	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-11.000	139.611	319.672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-11.000	151.720	319.672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-11.000	158.800	334.852	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-11.000	157.231	334.467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-11.000	158.750	336.569	NaN	NaN	NaN	NaN	NaN	NaN	NaN
