T	X	Y	Mean	StdDev
1.000	19.565	14.365	520.657	331.140
2.000	19.565	14.235	509.348	323.726
3.000	19.435	15.145	509.407	322.232
4.000	19.370	13.975	508.790	320.257
5.000	19.565	13.195	492.646	311.592
6.000	19.435	13.065	494.132	312.234
7.000	19.370	13.065	493.449	310.838
8.000	19.240	13.065	494.478	309.536
9.000	19.175	13.065	493.187	308.395
10.000	19.110	13.260	496.161	307.219
11.000	19.045	13.000	498.075	308.825
12.000	18.980	13.325	494.691	308.012
13.000	19.240	13.260	492.944	308.190
14.000	19.305	13.520	491.659	307.973
15.000	19.305	13.650	489.540	309.870
16.000	19.305	13.780	487.512	311.231
17.000	20.540	14.235	473.556	311.761
18.000	20.540	14.040	475.632	313.284
19.000	20.540	14.040	473.924	312.535
20.000	19.500	14.105	487.051	310.783
21.000	19.500	13.845	484.605	309.977
22.000	19.435	13.910	482.839	310.657
23.000	19.435	14.040	484.609	310.139
24.000	19.565	14.170	482.862	309.398
25.000	19.630	13.975	481.508	308.320
26.000	19.760	14.105	482.167	308.050
27.000	19.825	14.170	482.944	307.225
28.000	19.890	13.910	483.748	304.564
29.000	19.825	14.105	486.120	300.655
30.000	19.825	14.170	485.823	295.924
31.000	19.695	14.170	488.513	293.701
32.000	20.475	14.300	475.288	291.099
33.000	20.540	14.040	473.831	290.562
34.000	20.540	14.430	477.594	287.498
35.000	20.540	14.300	485.716	284.757
36.000	20.475	14.105	483.241	279.151
37.000	20.605	14.105	484.479	275.285
38.000	20.540	14.040	483.114	270.540
39.000	20.540	14.170	484.747	264.142
40.000	20.540	14.105	481.893	261.206
41.000	20.410	14.040	484.749	260.453
42.000	20.410	14.105	490.802	258.747
43.000	20.540	13.910	501.442	259.395
44.000	20.605	13.910	500.119	257.682
45.000	20.735	13.845	499.309	257.399
46.000	20.800	13.910	497.417	256.921
47.000	20.930	13.845	492.517	258.647
48.000	20.995	13.910	496.854	258.282
49.000	20.865	13.910	491.418	257.227
50.000	20.865	13.975	489.382	255.702
51.000	20.930	13.780	487.818	255.485
52.000	20.930	14.040	490.119	253.582
53.000	20.865	13.910	486.753	252.079
54.000	20.735	13.780	486.148	250.296
55.000	20.930	13.845	483.819	249.447
56.000	20.865	13.780	482.963	250.464
57.000	20.865	13.910	485.841	248.911
58.000	20.800	13.910	484.572	247.894
59.000	20.800	13.975	486.018	246.343
60.000	20.670	14.040	485.658	248.088
61.000	20.800	14.170	484.173	248.569
62.000	20.735	14.105	483.901	251.525
63.000	20.800	14.105	480.424	253.804
64.000	20.865	14.040	473.681	256.881
65.000	20.735	14.170	471.468	255.609
66.000	20.670	14.105	470.022	259.288
67.000	20.670	14.040	472.092	259.393
68.000	20.735	14.235	474.031	256.503
69.000	20.800	14.170	465.276	256.824
70.000	20.475	14.105	468.861	257.452
71.000	20.410	14.105	465.080	257.858
72.000	20.345	14.170	469.502	258.025
73.000	20.085	14.105	470.984	259.931
74.000	19.825	14.105	467.513	259.828
75.000	19.630	14.170	469.263	265.827
76.000	19.435	14.300	471.606	269.575
77.000	19.305	14.235	464.543	272.381
78.000	19.240	14.430	469.636	272.998
79.000	19.175	14.235	474.958	273.462
80.000	19.110	14.365	471.744	271.708
81.000	19.045	14.495	477.876	270.799
82.000	20.085	14.690	475.314	272.900
83.000	20.410	14.560	477.840	277.031
84.000	20.800	14.430	471.897	280.172
85.000	21.190	14.300	468.418	281.352
86.000	21.255	14.365	468.817	281.260
87.000	21.125	14.495	470.193	280.711
88.000	19.890	14.495	468.944	280.895
89.000	22.100	14.235	461.072	282.436
90.000	22.035	14.495	457.354	278.976
91.000	21.970	14.170	456.593	279.645
92.000	21.320	14.235	457.318	276.179
93.000	21.775	14.235	453.193	273.609
94.000	20.215	14.170	464.729	273.783
95.000	20.085	14.105	462.412	270.623
96.000	20.280	13.975	458.195	271.342
97.000	20.280	14.300	459.001	270.069
98.000	20.475	14.235	454.905	271.770
99.000	20.475	14.040	459.415	275.069
100.000	20.345	13.975	458.751	275.537
101.000	20.345	13.910	458.734	276.429
102.000	20.410	13.910	463.336	276.267
103.000	20.670	13.780	455.500	274.521
104.000	20.605	13.715	452.793	272.014
105.000	20.670	13.780	460.212	271.624
106.000	20.605	13.585	453.714	271.939
107.000	20.540	13.910	452.593	269.990
108.000	20.605	13.650	456.209	270.934
109.000	20.540	13.650	456.945	274.933
110.000	20.475	13.975	457.995	276.873
111.000	20.540	13.715	461.528	278.109
112.000	20.410	13.585	462.378	280.965
113.000	20.085	13.390	463.126	282.788
114.000	20.605	13.780	460.075	286.974
115.000	20.085	13.520	463.051	286.251
116.000	20.215	13.455	468.652	288.029
117.000	20.475	13.650	465.098	290.212
118.000	20.410	13.650	463.989	290.180
119.000	20.345	13.650	464.758	287.161
120.000	20.345	13.650	466.201	287.511
121.000	20.345	13.650	464.338	284.942
