dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)	T (18)	dT (18)	Base Mean (18)	Body Mean (18)	Proj Mean (18)	Tip Mean (18)	Tip Th Mean (18)	Length (18)	dL (18)	DCTM (18)	DCBM (18)	T (19)	dT (19)	Base Mean (19)	Body Mean (19)	Proj Mean (19)	Tip Mean (19)	Tip Th Mean (19)	Length (19)	dL (19)	DCTM (19)	DCBM (19)	T (20)	dT (20)	Base Mean (20)	Body Mean (20)	Proj Mean (20)	Tip Mean (20)	Tip Th Mean (20)	Length (20)	dL (20)	DCTM (20)	DCBM (20)	T (21)	dT (21)	Base Mean (21)	Body Mean (21)	Proj Mean (21)	Tip Mean (21)	Tip Th Mean (21)	Length (21)	dL (21)	DCTM (21)	DCBM (21)	T (22)	dT (22)	Base Mean (22)	Body Mean (22)	Proj Mean (22)	Tip Mean (22)	Tip Th Mean (22)	Length (22)	dL (22)	DCTM (22)	DCBM (22)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-20.000	194.538	520.657	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-20.000	234.300	498.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-20.000	195.692	498.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-20.000	230.897	473.924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-20.000	211.429	482.862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	-20.000	256.654	477.594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-20.000	222.103	483.114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-20.000	225.412	496.854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-20.000	228.667	485.841	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-20.000	205.359	470.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-20.000	202.808	469.502	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-20.000	192.476	469.502	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-20.000	219.118	477.876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-20.000	323.429	477.840	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-20.000	168.682	457.354	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-19.000	199.552	509.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-19.000	226.636	494.691	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-19.000	199.615	494.691	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-19.000	251.023	487.051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-19.000	218.162	481.508	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	-19.000	260.409	485.716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-19.000	220.158	484.747	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-19.000	226.442	491.418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-19.000	234.533	484.572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-19.000	204.615	472.092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-19.000	200.615	470.984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-19.000	211.250	470.984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	-19.000	220.976	475.314	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-19.000	216.792	471.897	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-19.000	160.773	456.593	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-18.000	201.226	509.407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-18.000	230.040	492.944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-18.000	195.345	492.944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-18.000	226.033	484.605	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-18.000	219.000	482.167	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	-18.000	273.440	483.241	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-18.000	214.282	481.893	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-18.000	214.167	489.382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-18.000	225.000	486.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68.000	-18.000	263.909	474.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-18.000	191.727	467.513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-18.000	197.462	467.513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	-18.000	221.353	477.840	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-18.000	216.471	468.418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-18.000	157.000	457.318	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-17.000	205.111	508.790	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-17.000	220.267	491.659	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-17.000	183.320	491.659	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-17.000	239.848	482.839	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-17.000	207.375	482.944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	-17.000	276.731	484.479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-17.000	222.583	484.749	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-17.000	214.957	487.818	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-17.000	230.083	485.658	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.000	-17.000	192.238	465.276	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-17.000	187.227	469.263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-17.000	195.962	469.263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84.000	-17.000	216.792	471.897	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-17.000	214.833	468.817	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.000	-17.000	161.591	453.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-16.000	194.333	492.646	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-16.000	224.708	489.540	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-16.000	188.500	489.540	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-16.000	242.171	484.609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-16.000	200.973	483.748	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	-16.000	265.320	483.114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-16.000	230.207	490.802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-16.000	227.848	490.119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-16.000	233.074	484.173	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.000	-16.000	229.294	468.861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-16.000	198.409	471.606	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76.000	-16.000	189.520	471.606	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85.000	-16.000	213.130	468.418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-16.000	222.047	470.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	-16.000	164.364	464.729	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-15.000	197.647	494.132	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-15.000	220.156	487.512	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-15.000	193.286	487.512	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-15.000	234.344	482.862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-15.000	201.243	486.120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.000	-15.000	296.259	484.747	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-15.000	265.355	501.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-15.000	231.920	486.753	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-15.000	225.033	483.901	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.000	-15.000	229.375	465.080	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-15.000	208.133	464.543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.000	-15.000	195.929	464.543	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.000	-15.000	214.833	468.817	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-15.000	222.333	468.944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	-15.000	153.864	462.412	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-14.000	193.939	493.449	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-14.000	235.133	473.556	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-14.000	199.692	473.556	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-14.000	219.200	481.508	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-14.000	201.882	485.823	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.000	-14.000	285.800	481.893	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44.000	-14.000	264.263	500.119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-14.000	331.690	486.148	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-14.000	214.938	480.424	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.000	-14.000	320.028	469.502	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-14.000	215.379	469.636	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.000	-14.000	185.393	469.636	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87.000	-14.000	220.500	470.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-14.000	317.500	461.072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	-14.000	147.000	458.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-13.000	183.500	494.478	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-13.000	210.533	475.632	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-13.000	196.154	475.632	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-13.000	230.939	482.167	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	-13.000	215.692	488.513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000	-13.000	270.920	484.749	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45.000	-13.000	229.462	499.309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-13.000	322.034	483.819	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-13.000	211.135	473.681	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.000	-13.000	313.364	470.984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-13.000	230.533	474.958	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.000	-13.000	178.280	474.958	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	-13.000	221.462	468.944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-13.000	217.196	457.354	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.000	-13.000	163.182	459.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-12.000	204.258	493.187	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-12.000	197.923	473.924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-12.000	189.320	473.924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-12.000	213.660	482.944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	-12.000	216.211	475.288	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42.000	-12.000	275.963	490.802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000	-12.000	210.528	497.417	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-12.000	320.083	482.963	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-12.000	206.417	471.468	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74.000	-12.000	316.057	467.513	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-12.000	234.967	471.744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	-12.000	181.480	471.744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.000	-12.000	317.500	461.072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91.000	-12.000	228.163	456.593	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.000	-12.000	137.909	454.905	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-11.000	208.846	496.161	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-11.000	207.200	487.051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-11.000	194.462	487.051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-11.000	219.900	483.748	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	-11.000	216.426	473.831	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000	-11.000	286.862	501.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.000	-11.000	219.605	492.517	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-11.000	325.815	485.841	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-11.000	216.094	470.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75.000	-11.000	210.824	469.263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-11.000	235.576	477.876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	-11.000	215.600	477.876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90.000	-11.000	215.577	457.354	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92.000	-11.000	211.600	457.318	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.000	-11.000	148.182	459.415	NaN	NaN	NaN	NaN	NaN	NaN	NaN
