dT	T (0)	dT (0)	Base Mean (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)
-20.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-20.000	121.133	180.974	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.000	-20.000	112.182	180.727	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-19.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-19.000	119.706	182.132	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.000	-19.000	128.577	183.353	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-18.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-18.000	120.750	182.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000	-18.000	125.188	181.879	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-17.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000	-17.000	108.900	186.420	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-17.000	125.100	182.224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.000	-17.000	120.316	180.780	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-16.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	-16.000	113.929	185.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-16.000	120.414	180.078	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.000	-16.000	120.667	180.966	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-15.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	-15.000	115.706	186.167	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-15.000	121.100	180.523	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.000	-15.000	122.654	180.669	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-14.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	-14.000	107.000	176.427	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-14.000	124.867	181.394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.000	-14.000	123.480	181.131	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-13.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000	-13.000	110.222	177.578	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	-13.000	127.100	179.755	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	-13.000	127.440	181.436	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-12.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	-12.000	116.176	179.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	-12.000	127.621	178.777	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.000	-12.000	109.955	179.085	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-11.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	-11.000	112.857	179.619	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	-11.000	124.714	177.499	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	-11.000	120.600	180.268	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-10.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	-10.000	111.706	180.431	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	-10.000	122.519	178.952	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	-10.000	124.462	180.495	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-9.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	-9.000	114.278	181.288	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	-9.000	123.500	177.836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.000	-9.000	131.038	179.823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-8.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	-8.000	114.600	181.092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	-8.000	126.724	178.585	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	-8.000	123.083	177.975	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-7.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	-7.000	112.533	180.974	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	-7.000	128.536	178.448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	-7.000	113.091	179.506	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-6.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	-6.000	114.964	182.132	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	-6.000	123.393	178.103	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	-6.000	119.806	178.390	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-5.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	-5.000	115.300	182.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	-5.000	124.080	177.084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	-5.000	110.641	178.729	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-4.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	-4.000	119.233	182.224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	-4.000	119.815	175.783	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.000	-4.000	116.632	181.412	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-3.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	-3.000	113.241	180.078	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	-3.000	120.920	178.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	-3.000	118.500	180.522	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-2.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	-2.000	112.933	180.523	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	-2.000	123.720	177.929	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.000	-2.000	125.846	181.103	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-1.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	-1.000	114.483	181.394	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	-1.000	124.387	177.981	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.000	-1.000	121.684	179.286	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.000	1.000	0.000	115.955	186.420	109.354	106.226	112.353	5.361	0.000	NaN	NaN	1.000	0.000	120.717	186.420	108.202	107.714	160.000	6.632	0.000	NaN	NaN	1.000	0.000	120.333	186.420	111.313	107.571	110.308	1.969	0.000	NaN	NaN	1.000	0.000	108.519	186.420	107.319	107.241	111.533	2.159	0.000	NaN	NaN	18.000	0.000	111.321	179.755	108.417	108.000	109.364	0.470	0.470	NaN	NaN	31.000	0.000	122.174	176.660	112.899	112.000	119.417	1.211	1.211	NaN	NaN	68.000	0.000	109.846	178.779	108.465	105.238	110.500	3.021	3.021	NaN	NaN
1.000	2.000	1.000	111.163	185.010	109.815	108.258	114.900	1.495	-3.866	-3.277	0.044	2.000	1.000	123.638	185.010	108.041	104.310	109.050	6.678	0.046	0.021	-0.021	2.000	1.000	121.179	185.010	111.068	107.667	113.286	1.950	-0.019	0.088	-0.083	2.000	1.000	111.296	185.010	108.997	108.094	112.667	3.034	0.875	0.195	-0.650	19.000	1.000	111.808	178.777	110.545	110.500	116.400	0.470	0.000	0.041	0.041	32.000	1.000	118.070	175.773	115.397	113.433	121.533	0.962	-0.249	-0.088	0.088	69.000	1.000	111.091	177.923	109.511	109.964	114.111	2.137	-0.884	-0.875	-0.060
2.000	3.000	2.000	116.535	186.167	111.088	109.950	114.000	1.896	0.401	0.128	-0.131	3.000	2.000	118.766	186.167	108.998	105.806	110.412	6.567	-0.111	0.062	0.225	3.000	2.000	122.462	186.167	113.349	110.000	114.269	1.912	-0.038	0.124	0.145	3.000	2.000	115.704	186.167	108.995	108.857	114.077	3.738	0.704	0.131	-0.585	20.000	2.000	114.071	177.499	109.722	110.533	120.333	0.550	0.080	-0.036	-0.072	33.000	2.000	117.925	175.817	112.707	112.097	118.733	0.989	0.027	0.026	0.039	70.000	2.000	113.259	178.769	109.297	108.778	115.571	1.249	-0.888	-0.677	0.064
3.000	4.000	3.000	113.889	176.427	109.545	107.780	113.909	1.276	-0.620	-0.455	-0.095	4.000	3.000	116.024	176.427	108.487	105.500	108.524	6.437	-0.130	0.206	0.206	4.000	3.000	120.200	176.427	110.737	108.176	113.048	2.088	0.176	0.145	0.032	4.000	3.000	107.556	176.427	106.055	104.735	109.286	2.568	-1.170	0.065	1.235	21.000	3.000	112.700	178.952	111.095	110.100	116.476	0.751	0.202	-0.000	-0.091	34.000	3.000	120.841	178.335	114.689	111.871	117.952	1.265	0.276	0.090	-0.198	71.000	3.000	112.923	178.035	109.477	109.300	112.792	1.138	-0.111	-0.065	0.004
4.000	5.000	4.000	114.818	177.578	110.053	109.378	113.958	1.073	-0.203	-0.205	-0.060	5.000	4.000	122.917	177.578	108.376	105.647	113.889	6.881	0.444	0.082	-0.288	5.000	4.000	117.643	177.578	110.190	106.226	110.818	2.237	0.149	0.058	-0.058	5.000	4.000	110.778	177.578	107.426	107.719	111.875	2.958	0.390	0.002	-0.391	22.000	4.000	116.613	177.836	109.426	108.448	113.571	0.738	-0.014	0.029	-0.087	35.000	4.000	120.064	179.930	116.567	113.969	117.750	1.303	0.038	-0.018	-0.018	72.000	4.000	112.750	175.492	109.062	108.972	112.840	1.211	0.073	0.064	0.056
5.000	6.000	5.000	112.429	179.000	110.194	110.000	120.167	0.659	-0.414	-0.052	0.299	6.000	5.000	120.349	179.000	108.556	107.000	111.684	6.789	-0.092	-0.082	-0.000	6.000	5.000	119.311	179.000	110.351	109.303	114.500	2.329	0.092	0.116	0.058	6.000	5.000	117.741	179.000	108.485	107.700	110.632	3.692	0.734	-0.065	-0.782	23.000	5.000	118.133	178.585	112.042	109.735	113.846	1.054	0.316	0.056	-0.268	36.000	5.000	118.386	177.138	115.333	112.970	116.538	1.219	-0.084	0.038	0.091	73.000	5.000	113.926	177.738	108.654	107.750	124.000	1.230	0.019	-0.065	-0.065
6.000	7.000	6.000	115.179	179.619	110.060	109.500	116.467	1.119	0.460	0.185	-0.329	7.000	6.000	119.953	179.619	108.057	105.188	113.500	6.992	0.203	0.144	-0.062	7.000	6.000	118.255	179.619	109.901	106.387	111.714	2.359	0.030	0.047	0.036	7.000	6.000	111.926	179.619	108.361	107.839	112.200	3.367	-0.325	0.130	0.390	24.000	6.000	116.000	178.448	110.854	109.667	116.615	0.970	-0.084	0.109	0.052	37.000	6.000	120.979	179.377	114.682	112.200	119.267	1.387	0.168	0.016	-0.127	74.000	6.000	113.926	176.690	108.369	110.111	114.385	1.084	-0.146	-0.065	7.960E-18
7.000	8.000	7.000	116.667	180.431	110.185	107.455	120.000	2.049	0.930	0.800	-0.000	8.000	7.000	123.167	180.431	108.027	104.875	109.933	7.214	0.222	0.021	-0.144	8.000	7.000	117.170	180.431	109.897	106.543	115.667	2.462	0.103	0.146	0.124	8.000	7.000	115.000	180.431	107.916	106.200	111.692	3.711	0.344	0.066	-0.260	25.000	7.000	116.868	178.103	112.028	109.212	116.875	1.257	0.287	0.058	-0.145	38.000	7.000	121.043	179.125	113.667	111.778	113.808	1.571	0.184	0.131	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.000	9.000	8.000	114.714	181.288	111.108	111.963	115.462	1.376	-0.674	-0.457	-0.033	9.000	8.000	119.455	181.288	108.130	105.966	112.800	7.325	0.111	0.123	-0.000	9.000	8.000	118.500	181.288	109.669	107.216	112.650	2.703	0.241	0.186	-0.081	9.000	8.000	117.000	181.288	108.483	108.121	117.444	3.792	0.081	0.067	0.065	26.000	8.000	113.212	177.084	111.275	108.167	117.800	1.230	-0.027	0.072	0.036	39.000	8.000	113.457	179.008	112.095	112.800	116.929	0.561	-1.010	0.047	0.489	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
